"RegionType","RegionName","State","CBSA Title","SizeRankCity","SizeRankMetro","PctPriceCut","DaysOnMarket","BuyerSellerIndex","BuyerSellerIndexMetro"
"City","Akron","OH","""Akron, OH""",94,73,20.2097902097902,80,9.28571428571429,4.18518518518519
"City","Cuyahoga Falls","OH","""Akron, OH""",769,73,18.4971098265896,63.5,3.57142857142857,4.18518518518519
"City","Stow","OH","""Akron, OH""",1046,73,18.407960199005,55,1.42857142857143,4.18518518518519
"City","Green","OH","""Akron, OH""",1521,73,20.4545454545455,67,8.57142857142857,4.18518518518519
"City","Barberton","OH","""Akron, OH""",1522,73,18.5714285714286,71,5,4.18518518518519
"City","Kent","OH","""Akron, OH""",1613,73,19.5121951219512,71,7.14285714285714,4.18518518518519
"City","Hudson","OH","""Akron, OH""",1893,73,19.7969543147208,66,5.71428571428571,4.18518518518519
"City","Twinsburg","OH","""Akron, OH""",2448,73,12.2302158273381,63,0.714285714285714,4.18518518518519
"City","Northfield","OH","""Akron, OH""",2887,73,9.67741935483871,68,2.14285714285714,4.18518518518519
"City","Tallmadge","OH","""Akron, OH""",2918,73,14.1592920353982,66,2.85714285714286,4.18518518518519
"City","Aurora","OH","""Akron, OH""",3454,73,16.9230769230769,99,6.42857142857143,4.18518518518519
"City","Copley","OH","""Akron, OH""",4022,73,19.6969696969697,73,7.85714285714286,4.18518518518519
"City","Streetsboro","OH","""Akron, OH""",6465,73,22.0338983050847,76,10,4.18518518518519
"City","Ravenna","OH","""Akron, OH""",7152,73,17.8571428571429,75,4.28571428571429,4.18518518518519
"City","Albany","NY","""Albany-Schenectady-Troy, NY""",250,60,14.7268408551069,115,4.16666666666667,8.27777777777778
"City","Town of Colonie","NY","""Albany-Schenectady-Troy, NY""",417,60,15.8139534883721,88.5,3.33333333333333,8.27777777777778
"City","Schenectady","NY","""Albany-Schenectady-Troy, NY""",584,60,16.5605095541401,136,6.66666666666667,8.27777777777778
"City","Troy","NY","""Albany-Schenectady-Troy, NY""",683,60,20.5405405405405,137,9.16666666666667,8.27777777777778
"City","Clifton Park","NY","""Albany-Schenectady-Troy, NY""",845,60,14.0394088669951,87,1.66666666666667,8.27777777777778
"City","Saratoga Springs","NY","""Albany-Schenectady-Troy, NY""",1007,60,12.4168514412417,102,2.5,8.27777777777778
"City","Town of Niskayuna","NY","""Albany-Schenectady-Troy, NY""",1318,60,22.2222222222222,109,7.5,8.27777777777778
"City","Town of Rotterdam","NY","""Albany-Schenectady-Troy, NY""",1393,60,23.4939759036145,149,10,8.27777777777778
"City","Bethlehem","NY","""Albany-Schenectady-Troy, NY""",1547,60,11.2745098039216,76.5,0.833333333333333,8.27777777777778
"City","Malta","NY","""Albany-Schenectady-Troy, NY""",5157,60,17.2413793103448,97,5,8.27777777777778
"City","Wilton","NY","""Albany-Schenectady-Troy, NY""",7573,60,19.047619047619,96.5,5.83333333333333,8.27777777777778
"City","Guilderland","NY","""Albany-Schenectady-Troy, NY""",9322,60,20.4081632653061,129,8.33333333333333,8.27777777777778
"City","Allentown","PA","""Allentown-Bethlehem-Easton, PA-NJ""",187,67,16.6998011928429,85,1.875,8.2037037037037
"City","Bethlehem Township","PA","""Allentown-Bethlehem-Easton, PA-NJ""",283,67,30,87,10,8.2037037037037
"City","Bethlehem","PA","""Allentown-Bethlehem-Easton, PA-NJ""",371,67,18.018018018018,85,3.125,8.2037037037037
"City","Easton","PA","""Allentown-Bethlehem-Easton, PA-NJ""",1507,67,21.0526315789474,91.5,8.125,8.2037037037037
"City","Lower Macungie","PA","""Allentown-Bethlehem-Easton, PA-NJ""",1594,67,19.8581560283688,79,1.25,8.2037037037037
"City","Upper Macungie","PA","""Allentown-Bethlehem-Easton, PA-NJ""",2134,67,21.8181818181818,77,2.5,8.2037037037037
"City","South Whitehall Township","PA","""Allentown-Bethlehem-Easton, PA-NJ""",2439,67,30.4761904761905,79.5,6.5625,8.2037037037037
"City","Upper Saucon Township","PA","""Allentown-Bethlehem-Easton, PA-NJ""",3587,67,17.9487179487179,93.5,6.5625,8.2037037037037
"City","Forks Township","PA","""Allentown-Bethlehem-Easton, PA-NJ""",3696,67,16.2650602409639,94,3.75,8.2037037037037
"City","Phillipsburg","NJ","""Allentown-Bethlehem-Easton, PA-NJ""",3715,67,15.4545454545455,140,5.625,8.2037037037037
"City","Palmer Township","PA","""Allentown-Bethlehem-Easton, PA-NJ""",4248,67,25.5102040816327,87,8.75,8.2037037037037
"City","Washington Township","NJ","""Allentown-Bethlehem-Easton, PA-NJ""",5298,67,13.28125,180,4.375,8.2037037037037
"City","Lower Saucon Township","PA","""Allentown-Bethlehem-Easton, PA-NJ""",5484,67,14.4444444444444,87,0.625,8.2037037037037
"City","Penn Forest Township","PA","""Allentown-Bethlehem-Easton, PA-NJ""",6170,67,17.0289855072464,138.5,7.5,8.2037037037037
"City","Nazareth","PA","""Allentown-Bethlehem-Easton, PA-NJ""",6564,67,31.6831683168317,78,5,8.2037037037037
"City","Lopatcong","NJ","""Allentown-Bethlehem-Easton, PA-NJ""",6913,67,20.4301075268817,105.5,9.375,8.2037037037037
"City","Asheville","NC","""Asheville, NC""",426,116,20.5369127516779,73,4.16666666666667,6.24074074074074
"City","Waynesville","NC","""Asheville, NC""",1699,116,14.5374449339207,125,5,6.24074074074074
"City","Candler","NC","""Asheville, NC""",1839,116,24.8484848484848,76,5.83333333333333,6.24074074074074
"City","Arden","NC","""Asheville, NC""",2284,116,16.8604651162791,76.5,3.33333333333333,6.24074074074074
"City","Canton","NC","""Asheville, NC""",3395,116,13.7931034482759,97.5,1.66666666666667,6.24074074074074
"City","Weaverville","NC","""Asheville, NC""",4243,116,20.7547169811321,78,6.66666666666667,6.24074074074074
"City","Fletcher","NC","""Asheville, NC""",4285,116,15.527950310559,95,2.5,6.24074074074074
"City","Black Mountain","NC","""Asheville, NC""",5541,116,16.8067226890756,126.5,8.33333333333333,6.24074074074074
"City","Clyde","NC","""Asheville, NC""",6625,116,15.1260504201681,93.5,0.833333333333333,6.24074074074074
"City","Leicester","NC","""Asheville, NC""",6688,116,17.4418604651163,113.5,10,6.24074074074074
"City","Fairview","NC","""Asheville, NC""",7963,116,20.4724409448819,96.5,7.5,6.24074074074074
"City","Maggie Valley","NC","""Asheville, NC""",8814,116,16.1764705882353,183,9.16666666666667,6.24074074074074
"City","Atlanta","GA","""Atlanta-Sandy Springs-Roswell, GA""",30,9,16.3199656873258,62,3.47222222222222,1.77777777777778
"City","Marietta","GA","""Atlanta-Sandy Springs-Roswell, GA""",46,9,20.4740498569677,56,5.13888888888889,1.77777777777778
"City","Lawrenceville","GA","""Atlanta-Sandy Springs-Roswell, GA""",68,9,15.9051474840949,57,2.22222222222222,1.77777777777778
"City","Cumming","GA","""Atlanta-Sandy Springs-Roswell, GA""",165,9,20.8135006490697,64,8.75,1.77777777777778
"City","Stone Mountain","GA","""Atlanta-Sandy Springs-Roswell, GA""",229,9,15.3225806451613,77,6.66666666666667,1.77777777777778
"City","Norcross","GA","""Atlanta-Sandy Springs-Roswell, GA""",239,9,11.0619469026549,48,0.138888888888889,1.77777777777778
"City","Sandy Springs","GA","""Atlanta-Sandy Springs-Roswell, GA""",248,9,20.5492424242424,76,10,1.77777777777778
"City","Duluth","GA","""Atlanta-Sandy Springs-Roswell, GA""",256,9,17.8714859437751,52,1.94444444444444,1.77777777777778
"City","Lithonia","GA","""Atlanta-Sandy Springs-Roswell, GA""",289,9,12.8205128205128,84.5,5.97222222222222,1.77777777777778
"City","McDonough","GA","""Atlanta-Sandy Springs-Roswell, GA""",290,9,14.4074360960496,82,7.22222222222222,1.77777777777778
"City","Kennesaw","GA","""Atlanta-Sandy Springs-Roswell, GA""",315,9,23.6024844720497,55,6.52777777777778,1.77777777777778
"City","Acworth","GA","""Atlanta-Sandy Springs-Roswell, GA""",339,9,18.7254901960784,57,4.30555555555556,1.77777777777778
"City","Douglasville","GA","""Atlanta-Sandy Springs-Roswell, GA""",341,9,15.553235908142,73,5.55555555555556,1.77777777777778
"City","Woodstock","GA","""Atlanta-Sandy Springs-Roswell, GA""",350,9,18.0722891566265,55,3.05555555555556,1.77777777777778
"City","Roswell","GA","""Atlanta-Sandy Springs-Roswell, GA""",352,9,19.6933962264151,55,4.58333333333333,1.77777777777778
"City","Newnan","GA","""Atlanta-Sandy Springs-Roswell, GA""",354,9,14.1806722689076,62,2.08333333333333,1.77777777777778
"City","Conyers","GA","""Atlanta-Sandy Springs-Roswell, GA""",363,9,13.9507620164127,98,7.63888888888889,1.77777777777778
"City","Covington","GA","""Atlanta-Sandy Springs-Roswell, GA""",378,9,13.448275862069,98,7.36111111111111,1.77777777777778
"City","Canton","GA","""Atlanta-Sandy Springs-Roswell, GA""",418,9,18.8694267515924,71,8.47222222222222,1.77777777777778
"City","Smyrna","GA","""Atlanta-Sandy Springs-Roswell, GA""",428,9,18.4563758389262,53,2.77777777777778,1.77777777777778
"City","Snellville","GA","""Atlanta-Sandy Springs-Roswell, GA""",506,9,15.6196943972835,63,3.33333333333333,1.77777777777778
