"RegionName","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08"
"New York","NY","New York","Queens",1,229.145833333333,227.032476576348,227.56953125,229.641065225782,229.319852941176,231.052631578947,232.222470508944,232.931726907631,232.323232323232,227.598566308244,227.239568057876,225.648648648649,224.480151228733,223.475355054302,226.704545454545,223.314606741573,223.620378892468,224.509803921569,225.789473684211,223.314606741573,221.542359254343,221.461187214612,219.671806167401,216.839754627637,216.465156130998,214.81925,214.5,217.695473251029,219.350615344331,220.358455882353,217.084266928493,215.355805243446,214.782407407407,210.727330779055,234.230769230769,230.612244897959,233.494251590579,235.585939139559,238.095238095238,239.365293720459,240.766889204545,249.505928853755,251.788756388416,255.681818181818,259.315821624924,263.006002479614,269.680464778504,266.111111111111,263.296205357143,263.181818181818,267.857142857143,277.453703703704,290,299.5,300.127713920817,306.864754098361,302.706552706553,307.224893162393,302.083333333333,312.5,324.999583333333,332.027139921877,332.857142857143,347.222222222222,355.006072893853,333.333333333333,341.744785447019,347.979797979798,359.74025974026,376.828554710357,396.301188903567,391.332354859752,419.93281075028,424.825174825175,414.5674941484,444.074074074074,424.533491532736,419.179734620024,413.907284768212,427.309782608696,425.925925925926,436.68701884789,437.810945273632,433.276521020556,424.224753227031,433.821676118463,430.791469157604,444.554455445545,467.687074829932,480.459944839207,483.333333333333,478.515625
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319.004043413492,310.863365309826,297.2800679983,291.593695271454,289.816933638444,294.94942836669,307.108136013369,311.866365195696,323.711340206186,317.063492063492,323.842193222689,319.859813084112,321.017790357477,284.783493119185,293.833596629805,299.760191846523,309.98322147651,311.052283256122,319.604733076855,338.321753073223,334.171561880921,334.386617100372,338.91651400157,340.116279069767,344.473007712082,337.551478543687,340.653673033643,343.178405134247,335.629841652138,343.98579671549,359.291836734694,363.891010949834,362.31884057971,356.073133366923,354.419154596512,356.700914778119,348.640393407347,341.619529621911,345.674691609871,348.756670314901,352.760736196319,367.581784105343,372.739602169982,374.741200828157,377.433768308369,377.144298688194
"Chicago","IL","Chicago","Cook",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.532041728763,118.670886075949,132.652609506058,139.21875,148.955223880597,149.9,144.333333333333,136.711598746082,138.502251173484,130.297186906413,129.416666666667,131.037417629021,133.333333333333,138.571878940731,143.333333333333,148.064856150794,156.857142857143,170.7,168.16199376947,163.571428571429
"Houston","TX","Houston","Harris",4,106.441717791411,109.686520376176,110.792492179353,108.320725602155,108.146099590065,106.268867924528,106.268867924528,104.716662041213,102.635526033855,99.1242717047314,99.1242717047314,97.9602791196994,96.9970984363733,96.8715393133998,99.4671403197158,100.745238752415,100.704215776018,96.8323281236534,94.0801413236543,91.3756737754863,91.395228302526,89.0196922831245,90.5429981813458,90.8934169278997,87.333125389894,91.0127737226277,93.167701863354,97.6519457804985,95.073645320197,99.2032489568186,99.8902219756777,92.3446736751489,91.2188298087469,87.5186593558529,89.355600354075,86.5535604571509,89.4074902179989,96.9563082965145,97.818043588444,98.886124930901,102.466016092843,107.069726247724,107.479399433527,105.551138592145,105.695630230895,106.56422016617,103.918280585735,105.397218663519,105.796782014547,112.714156898106,114.350440913388,115.753698520592,116.2215628091,115.930802995094,122.662100345952,131.795716639209,132.904608788853,133.732068814174,144.933066574537,134.823787017973,133.15864697475,143.613610653847,150.237650872852,152.089947089947,153.457389635317,152.774528844996,146.551724137931,145.819154107924,150.671785028791,148.752399232246,154.174473067916,148.443898443898,151.446859903382,156.126493799324,153.156859284088,158.494237800732,158.426659382682,153.109728867624,153.471240740432,145.840119535577,146.787765460131,142.122360584732,139.56067538509,136.511775547819,137.816337148803,140.120646334964,143.888354186718,146.297194530738,149.694600367246,149.052350945225,147.74098456829,148.025909932141
"Philadelphia","PA","Philadelphia","Philadelphia",5,96.5850515463918,101.638465269171,100.991984631691,100.688924218336,99.5092382820205,96.5641985567832,92.4761571155014,92.4337957124842,92.4337957124842,92.5925925925926,92.5925925925926,92.4337957124842,89.3847349942971,93.4552845528455,91.9146825396825,90.7434402332362,93.6039719626168,91.020188145853,89.4538606403013,87.6336948076079,88.6904761904762,88.9974823490778,89.6564593301435,88.6470196349494,88.5222150676111,89.2261904761905,91.9642857142857,95.7962713387242,97.2749391727494,99.9545454545455,96.7261904761905,96.551724137931,95.514880952381,92.9510636221702,92.7499264339717,87.0862369337979,86.9130434782609,90.2483069977427,97.3333333333333,98.640350877193,99.4925697716564,106.005413867898,107.619047619048,104.141968386201,103.21783625731,102.678571428571,100.774327906096,98.1299672744273,94.7697846479059,97.953431372549,107.930097905043,105.31914893617,113.509803921569,113.509803921569,109.495060373216,105.596144963556,107.389837655492,109.329536302141,110.771276595745,111.217486334836,109.435170104958,110.538617363895,114.95,121.134157105031,121.093753064627,120.828282828283,119.625190258752,118.450797266515,111.111111111111,112.673848075293,110.644391408115,111.867704280156,112.634671890304,114.37991382566,120.697426369392,126.069078947368,123.90625,118.317713885662,111.024542267238,108.619239332672,116.994382022472,123.65214616621,128.436426116838,120.552677029361,122.392290249433,123.490818392134,125.156494522692,129.57264957265,133.902400051624,137.164634146341,127.990009337068,125.680905796596
"Phoenix","AZ","Phoenix","Maricopa",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.97710516104,135.991236022968,135.379061371841,134.984984984985,136.116152450091,136.43605292172,138.937600988499,135.720871709295,133.481900452489,126.254054826642,128.694581280788,130.699260943718,132.291034566112,132.106786094208,133.162122902697,134.245867768595,137.045722193859,144.614182777186,147.268408551069,145.581014827239,143.047878558763,143.047878558763,139.264154992249,141.220665383678,142.634372926344,144.914904589995,144.758576057328,145.286382883887,157.050195591015,159.358793022159,154.076290201945,157.343182393912,148.545651379838,145.01504139526,144.730650422934,140.733137829912,144.353070175439,141.909500118455,142.757220543457,148.524860738601,154.655247757133,155.579399141631,151.720583498165,151.560495938435,146.56361444823,144.234348991173,146.972369194591
"Las Vegas","NV","Las Vegas","Clark",7,99.177128183846,100.920154348471,95.678462964544,94.0975192472199,89.2440585920765,87.3944772453892,86.866424251684,83.6933045356372,82.527392719066,82.1036269133019,78.8878842676311,74.8118636564852,73.3943582811532,71.6744352814629,68.9958158995816,65.325889154521,66.4973225461223,67.5898105813194,68.4345342018086,69.7890818858561,69.0944123314065,68.7992147601968,69.7890818858561,67.7488163784671,67.4798495538045,69.263862332696,70.2202692079956,72.3659337178718,76.1580882352941,77.7146989630198,76.0525592912745,78.0643160609204,77.7449455676516,79.0355660936574,83.9147286821705,85.1253125140449,87.2975487315501,87.6673599376056,89.4207112502796,92.8327308577062,93.9564820435118,97.0287461139896,99.5575221238938,102.711055314905,103.744293102538,105.203619909502,105.582524271845,105.201950502889,102.540579570582,103.17025438748,106.585307794378,107.911910861071,108.333198331494,108.899046104928,109.414960586398,109.773012204134,109.927741124725,109.84368215902,109.763880025526,109.067369687047,109.381951296109,111.291120455108,112.618296529968,113.636363636364,114.716498721612,115.063432035189,116.746066795086,117.051859946923,116.666666666667,115.223629597433,114.884743307623,115.033072760072,116.857284932869,117.202835332606,118.763961280715,119.917929292929,121.360078813935,122.367407407407,122.626988199076,123.152682113431,122.297515327525,121.98989412897,122.285202863962,123.498558984738,123.519913885899,124.38599775365,125.81553890923,127.114637334234,128.378378378378,128.744218167172,131.802449325229,134.177272727273
"San Antonio","TX","San Antonio","Bexar",8,92.1667251228928,92.9672395810995,92.1126743448821,91.3388026729624,91.9938414164742,90.9978294573643,89.6339426254287,90.4736975214972,89.0096344709512,88.0480147918749,88.0981595092025,87.3423948220065,86.8399892790137,85.9951690576282,84.3860123956837,85.8134920634921,87.2905027932961,86.6552030418905,86.6046135167948,86.1130254996554,87.1998102472835,85.3051778999132,84.3592705144451,83.7645446238197,84.9604743083004,82.9467077081497,84.3167781885448,84.2628369477579,85.1518356697207,87.5718849840256,86.5970513941514,85.3808668889459,88.4046052631579,89.2943576268842,91.7273521701136,90.5753186340242,89.6860986547085,92.2586337282581,94.8353096179183,96.5312615682745,96.2970328023827,97.2929509514875,97.5941897412619,97.6779382902095,96.6103848079265,96.4247020585049,97.302823179792,97.458217270195,97.9879801411027,99.3965211217607,99.5023419203747,100.935984470787,101.033834586466,101.427030913012,101.362329259526,104.141835518474,102.371041161649,102.472448254675,101.609058402861,102.990022529771,102.484866646689,103.477419220693,102.53784714682,104.239054899236,103.690685413005,104.521747729418,104.32855984869,102.558145001765,100.853085605547,100.536034880739,100.116076610563,99.0532804931748,101.044438154543,104.56313416009,105.249853715623,106.61853188929,107.288737040201,107.93549291836,107.781437125748,107.781437125748,108.220167480809,107.331097268807,105.939562348038,105.244338498212,106.3502756911,106.362951807229,106.834002518988,107.341674863244,108.784537535364,110.207715133531,109.624553039333,108.755469922439
"San Diego","CA","San Diego","San Diego",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320.245479464262,323.443130152225,315.379889412247,340.654205607477,338.90290037831,344.342532107981,345.82775546631,344.588344125809,337.562729697965,339.170836311651,338.796270132806,341.510058083676,342.865680001361,324.747955897508,340.010626992561,367.127258603114,373.818788215675,372.397094430993,389.89898989899,358.052196053469,371.287128712871,370.453524921419,378.981581798483,386.935994245769,388.869064084227,394.010865480068,380.793650793651,380.793650793651,380.672773029626,388.271261812118,381.475201356507,382.536542477195,373.801452767899,372.538418543482,374.352704257768,366.92699811202,366.92699811202,386.376645678306,382.568815871048,392.482951022939,397.081115054718,397.534013605442,390.019697964544,398.091844407985,407.75875050875,409.002380437135
"Dallas","TX","Dallas-Fort Worth","Dallas",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.056737588652,209.182796605699,213.337826260734,216.576929731065,209.138758884483,219.314951191789,219.037167105648,220.97747137757,213.198678314535,220.701219088519,212.43219469286,217.354675652906,215.661103979461,224.395563754322,221.167233402073,219.760039177277,224.254572788775,227.936015319079,225.842038839878,218.613044599123,222.343276882172,226.324577531405,228.342097979518,225.194396542531,211.921934662707,223.574255974197,238.711800116769,245.434910661693,253.495580860343,256.037994025238,258.071037068053,257.675438596491,253.916491969922,247.36530590451,244.714173844949,250.106320929379,246.168720513333,244.639695618127,257.45457052633,258.908385585673,266.918490928392,263.505640504879,258.953761083039,247.157468908272
