"RegionName","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08"
"New York","NY","New York","Queens",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,825000,849000,839000,796793.5,830000,849500,875000,865000,856000,925000,949000,959000,999000,1025000,999000,995000
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,429900,419900,418000,429000,439990,455000,467000,469000,475000,469000,469000,469000,458000,439000,435000,455000,479500,499000,509500,515000,525000,525000,525000,525000,519950,529000,525000,545000,539000,549000,549250,555000,560000,565000,569000,580000,585000,577000,589000,595000,599000,615650,619900,614950,625000,599925
"Chicago","IL","Chicago","Cook",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274900,269000,259000,289000,295000,299900,309000,304950,299500,299000,299999,299000,287000,275000,269900,284000,299000,299000,299000,298000,297250,290000,289000,285000,279900,285000,289000,299999,309900,315000,315000,314950,314900,310000,323250,324900,320000,314900,325000,335000,340500,339900,339000,344700,345000,337000
"Houston","TX","Houston","Harris",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240000,249000,255000,250000,260000,259900,262750,260000,250000,250000,250000,249000,239000,240000,255000,259000,255000,250000,239000,239000
"Philadelphia","PA","Philadelphia","Philadelphia",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179900,164997.5,177950,199000,194950,181000,184900,199000,199900,209000,201500,189900,185000,188950,189900,194500,194700,189900,199000,219500,229900,230000,224900,209900,199900,207800,217250,216800,207000,199900,212500,229000,229700,229900,229900,229000,222420,220000,221210,225000,224800,219900,224000,224450,234900,240000,239900,244450,235900,234900,247990,230000,229900,235000,237500,260000,289000,280000,279900,289000,279450
"Phoenix","AZ","Phoenix","Maricopa",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109450,118500,129900,128000,127950,127500,129999,129900,127950,129250,130700,129900,129900,129900,134900,135000,135000,144000,150000,149949.5,137500,145000,151999,157250,164500,167500,172700,174947.5,169900,174400,179948.5,188000,179000,170000,179900,184900,189900,189250,179900,179900,190000,195000,209900,219900,214999,2e+05
"Las Vegas","NV","Las Vegas","Clark",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104500,99900,1e+05,105000,107500,109900,110000,104900,111000,114900,115000,110000,110000,115000,119000,119997,120000,122500,120000,119900,119999,122500,124900,125000,126717.5,129000,135000,135000,135250,135000,137250,139900,142000,147000,149990,150000,149900,150000,157950,164999,169900,170000,175000,179900,180000
"San Antonio","TX","San Antonio","Bexar",8,82000,84900,85999,87000,87500,88200,88200,88200,89900,88900,87995,85000,84900,82000,82000,84900,84900,85000,84000,83250,79450,74500,80000,77500,79000,79000,79000,77000,76000,79250,79900,79900,78900,78900,84700,85000,84982.5,87000,89495,90000,95000,97000,95000,92500,92500,95000,95250,98900,98900,99400,1e+05,104450,105000,104000,105000,104375,101000,98000,99500,101500,99716.5,109500,105000,101000,104000,104950,114900,109000,122250,114975,110000,115000,114975,115950,115000,120000,129000,129500,130000,129000,125000,129900,129000,131650,134500,136500,130000,134900,136500,140000,140000,134900
"San Diego","CA","San Diego","San Diego",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364900,379000,385000,395000,399000,399000,378000,389000,405000,399999,399900,399000,399000,394900,399000,399900,414950,425900,429974.5,410000,439000,429500,430000,434767,430000,439000,448000,449000,445000,452500,455000,465000,459900,460000,459000,464950,459000,462500,479945,479900,475944,485000,511950,529999,529900,520000
"Dallas","TX","Dallas-Fort Worth","Dallas",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259000,252450,261450,289000,299900,299999,309000,305000,308000,318950,309900,299000,299000,310000,325000,329000,339900,349900,349950,344500,340000
