"RegionName","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08"
"New York","NY","New York","Queens",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419000,415000,419000,425000,429000,425000,419000,409000,410000,419000,419000,439999,439000,449000,439000,449900,469000,496000,535000,525000,525000,519750,530000,529000,539000,580000,555000,559000,580000,599000,584155,599000,599000,639000,659000,654000,669000,739000,749000,699000,754500,699999,7e+05,7e+05,695000,699000,699999,720000,7e+05,699000,729000,759000,795000,820000,825000,799999,798000
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,549000,539000,529000,540000,539000,565000,575000,579000,589000,579000,579900,579000,569000,525000,535000,575000,599000,619000,639000,648000,640000,645000,648700,649250,649000,649000,650000,663000,675000,695000,690000,699000,699000,699000,699000,699000,709000,699900,7e+05,7e+05,724450,739000,749000,740000,746000,729958.5
"Chicago","IL","Chicago","Cook",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219900,215000,205000,229900,248000,258000,259900,265000,265000,258000,250000,249900,239000,228000,224900,239000,249999,254900,259575,259000,255000,249900,249900,246900,240000,235000,235000,249250,264900,274000,275000,275000,270000,269000,270000,269900,265000,250000,255000,275000,290000,299000,299000,299900,299000,289900
"Houston","TX","Houston","Harris",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308900,315000,325000,319900,314987,325000,325000,325000,329000,329000,333040.5,335000,329900,334900,329900,329850,330000,328245,329000,323000,315727,315000,309995,3e+05,309900,314900,319000,319995,320000,315000,312900
"Philadelphia","PA","Philadelphia","Philadelphia",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144900,142450,139900,139900,149900,159900,159900,159900,153000,149900,149900,149898,144900,134900,139000,144900,150000,159900,163250,159900,155000,150000,149900,149999,149900,144500,139900,139900,149900,155000,159900,159900,156000,150000,150999,158125,150000,149900,149994.5,150000,165000,175000,182500,180000,180000,179500
"Phoenix","AZ","Phoenix","Maricopa",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190000,190000,189900,195000,2e+05,209000,214900,217500,215000,215000,219900,220000,213900,201400,218900,225000,230000,238500,240000,240000,235000,240000,240000,242925,245000,240825,245000,249900,250000,259500,259900,259900,255900,253900,250000,250000,249900,249500,249900,254900,255000,262656,268000,265000,268000,265000
"Las Vegas","NV","Las Vegas","Clark",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175000,175000,170000,170000,175000,179000,179950,182600,180000,190000,195000,195000,189900,190000,190520,199900,202000,208000,215000,215000,215000,216949.5,219900,219900,220000,220000,219900,219000,220000,225000,229000,234900,237000,239000,240000,241000,244000,244900,247000,249999.5,254999,259990,264900,269900,274900,274995
"San Antonio","TX","San Antonio","Bexar",8,137500,139900,140000,143000,144000,145750,144900,144500,150241,149999,144990,144000,144900,145000,144500,145000,149900,150990,149900,144900,137999.5,137500,135000,132500,135000,134990,136997.5,136000,138021.5,142445,141317,142750,141995,145000,159900,159900,160786.5,167575,169900,173000,175000,178000,179000,179900,183000,185115,184900,187990,187946,189900,195000,195000,2e+05,198500,195900,199999,195900,193400,193000,199900,204900,209990,210000,220000,220000,225000,229500,229000,232000,228000,227495,227490,227994.5,216990,221000,222490,222992.5,225000,225000,225000,220000,224900,225500,220000,224095,227700,231992.5,238900,239900,243000,241990,237990
"San Diego","CA","San Diego","San Diego",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459900,465000,464000,475000,480000,499900,470000,499000,525000,519900,516289,512000,520000,499000,499900,515000,540000,559000,575000,539900,575000,575000,575000,580000,584250,599000,589900,599000,599900,619444,629000,629000,629000,624949.5,618000,610000,6e+05,610000,619000,625000,629900,659900,675000,669000,675000,669000
"Dallas","TX","Dallas-Fort Worth","Dallas",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247900,244945,227000,229999,245000,259900,269000,254700,259999.5,284750,255000,260000,249900,245900,250000,274900,289000,295500,299900,299900,292500,295000,310000,319500,324450,314900,315000,327000,350000,359995,365000,369000,374990,365000,369900,369000,369250,350000,359000,379000,390000,400472.5,409000,4e+05,398500,389000
"San Jose","CA","San Jose","Santa Clara",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,619000,610000,598475,604000,639844,649000,674956,673000,665000,662934,650000,649999,638900,619950,639250,678944,699000,7e+05,728000,749000,749000,745500,739950,738000,725000,718944,725000,750000,788944,795000,799000,799000,798950,785500,789000,789888,775000,769950,765000,780000,799950,808995,825000,828888,825000,839000
"Jacksonville","FL","Jacksonville","Duval",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144900,139900,139725,142000,146900,149900,153990,155000,158900,159900,159500,155000,155000,144900,145900,150000,152900,156900,159900,159900,159900,161998.5,165000,159900,164000,159900,160000,157500,163500,169900,170000,175000,174900,169900,169000,168000,165000,164900,165900,170000,177000,184500,189900,189900,190700,189000
"San Francisco","CA","San Francisco","San Francisco",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,859450,889000,850000,889000,890000,899000,903500,925000,899000,875000,929000,949000,945000,925000,950000,998000,998000,1049000,1049000,1e+06,998000,998000,1050000,1075000,1050000,1049000,998000,1095000,1099444,1149000,1150000,1149000,1100000,1100000,1149000,1172500,1150000,1150000,1150800,1195000,1195000,1195000,1190000,1165000,1150000,1160000
"Indianapolis","IN","Indianapolis","Marion",14,,,,,,,,,,,,,,,,,,,,,,,105000,101900,1e+05,1e+05,104500,105000,109000,109500,108900,106000,105000,104900,105900,104900,104500,107000,110000,114900,117000,118900,118900,116000,117900,117000,115000,114500,110900,114900,119900,123000,124900,125000,125000,124900,122450,120000,119000,114900,114900,115000,119900,122500,125000,125000,124900,120000,120000,119000,117900,114900,109900,109900,114900,118900,122900,124900,124900,123800,122990,124900,122950,119900,119900,122000,127900,135000,140000,145950,145000,144900
"Austin","TX","Austin","Travis",15,224000,224925,224900,229500,238500,239000,235100,239000,239900,238990,235970,232000,229900,229500,224500,229000,234900,230000,232945,225000,214500,215000,214974.5,210000,210000,214900,225000,229900,230000,229000,229000,225000,221000,222990,259950,268500,265000,274900,279000,286990,293500,290000,294800,289250,289900,299000,299990,299494,308285,320541,330000,348000,350000,350000,341990,345000,344990,343995,339500,346750,349900,349990,357400,367500,369900,369000,357500,362990,363450,365000,359000,362990,365990,367945,370495,377000,375000,389250,389900,380000,384900,380000,384900,375000,370000,384900,395000,408000,409000,399999,399900,399000
"Fort Worth","TX","Dallas-Fort Worth","Tarrant",16,130000,133500,135000,135992.5,136800,135000,134900,135000,142500,139000,133900,129900,129900,129500,129900,129925,132000,137900,135575,131550,128990,129900,127000,125900,125725,129000,129000,129500,129500,129997,129900,129900,128750,131990,149900,149990,152000,155000,155000,159000,159990,164900,164900,164500,164500,163000,161955,162995,162990,167990,169900,173379.5,174900,170000,170275,175000,179000,178000,174990,175000,178000,176990,182990,185500,185390,188500,187990,188277.5,189000,185900,189000,189000,190000,188900,194900,199000,202995,210000,212760,214000,210000,215000,215000,213950,215000,224390,229500,234900,235000,239000,239000,235375
