"RegionName","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08"
"New York","NY","New York","Queens",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449000,439000,439000,449000,439999,439000,439000,425000,425000,425000,425000,429900,429000,430000,429999,429000,449000,459000,469900,475000,469000,464999,469000,459000,450000,459000,459000,465000,479000,499000,479000,499000,519000,529000,549000,539000,539000,549999,565000,560000,579000,575000,575000,579000,559999.5,569000,559000,569000,549450,549000,549000,579000,599000,629999,645999,649000,648800
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599900,599900,585000,597000,599000,634999.5,649000,649000,650000,649000,649000,649000,634000,575000,589950,639000,659000,689000,699000,710000,706902.5,715000,715000,735000,735000,724500,730000,749000,758000,769950,775000,791500,799000,789000,779900,789000,795000,793000,795000,795000,799000,819000,829000,824000,829999,824999
"Chicago","IL","Chicago","Cook",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156950,157500,149900,158000,167000,179500,189900,199500,199900,197000,189900,185000,175950,168900,160000,170000,184900,189900,199900,207500,209900,199900,2e+05,199900,195000,187500,179949.5,187500,208999,219900,225000,225000,219900,215000,212000,209900,199900,191900,187900,199999,219000,225000,229900,234000,230000,229900
"Houston","TX","Houston","Harris",4,143000,151950,159900,159900,159900,159000,154900,155000,172500,169900,169900,165000,161851,164900,167900,169000,169950,169900,165900,162800,158500,158500,149500,149900,149900,149900,157490,159900,159000,159000,159900,159000,157431.5,156999,172000,169989,174800,183000,190000,198995,205000,210000,210000,214900,214945,220000,219900,215000,219500,236616.5,240000,259900,259900,259900,268990,269990,275000,279900,284000,299994.5,315000,329990,339000,349000,344000,335899,344900,344900,348000,349000,349246,349900,350000,349700,350000,349900,349900,349900,345000,344900,339000,332888,329000,325000,324000,326425,329900,335000,339000,339900,334900,329900
"Philadelphia","PA","Philadelphia","Philadelphia",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185000,190000,190000,195000,209000,215000,209900,209900,199900,199000,199000,199000,189000,169000,189900,196000,209500,209900,209900,203500,2e+05,199900,199900,199900,199900,195000,199000,199900,204900,210000,212500,214700,210000,209900,216500,219900,219000,215000,219000,218900,229900,239900,245000,249900,249900,239900
"Phoenix","AZ","Phoenix","Maricopa",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204990,208000,202900,210000,220000,225000,229000,230000,229900,229945,232970,234900,225000,219200,229900,239997.5,249900,255950,260000,260000,257500,259900,259900,259000,260000,259000,260000,269900,274900,280000,280000,279000,275000,270000,269500,269400,265000,261000,263950,269500,269900,279000,280000,279900,279900,279900
"Las Vegas","NV","Las Vegas","Clark",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195000,195000,190000,190000,199000,199900,202000,209850,213939,216000,219970,220000,217000,219900,219900,225000,229900,234900,239500,238000,239900,240000,244888,244900,244900,244900,245000,244900,249000,249900,254900,259000,259900,260000,264900,264999.5,267810,268000,269900,275000,276490,284834,285000,290000,294900,295700
"San Antonio","TX","San Antonio","Bexar",8,139500,141117.5,143500,145000,145000,148900,146000,145000,152900,150900,145000,145000,145000,145515,145000,146250,150000,154000,150000,145900,139000,139000,136900,134900,136000,135490,138218,137992.5,139184.5,144250,143736.5,144900,144000,147000,162000,161042,164573,169000,170633,174900,176992.5,179716,179900,180000,184900,187999.5,185000,189000,189000,191900,197500,198000,204900,199900,199000,203000,198608,195000,195000,2e+05,206950,211945,212000,221990,222990,225000,230000,229900,231997.5,227990,227490,227000,227990,216900,220600,222945,224000,225200,225000,225000,219999,224670.5,225000,220000,224900,227995,233344,239500,240000,244000,242000,238990
"San Diego","CA","San Diego","San Diego",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,590000,599900,585000,599900,625000,649000,629000,645000,650000,649000,640000,639900,640000,619000,635000,649000,695000,739000,749000,699000,725000,726438,729000,729900,735000,749000,750000,759000,759000,765000,780000,775000,772000,769000,755000,749000,749894,757495,759000,769450,799000,839000,829000,819450,825000,805000
"Dallas","TX","Dallas-Fort Worth","Dallas",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269000,269500,249000,251900,279900,299700,305000,295000,3e+05,3e+05,299000,299900,279000,279000,284900,299900,325000,330000,339000,339000,329000,325000,340000,346500,349000,335000,330000,349900,372999,380000,385000,389000,389000,379900,380000,379900,379900,364900,367733.5,389000,399900,425000,435000,435000,425000,415000
"San Jose","CA","San Jose","Santa Clara",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,685000,688000,668900,699000,729500,743950,749894,749950,750000,749000,747000,742500,719950,699000,702335.5,749000,779838,790000,799000,814750,814500,805463.5,817440,801940,799000,799894,815000,869000,898000,898000,898888,899000,899000,879000,879000,869950,851133,849000,839919,879000,899000,9e+05,928000,904406,922400,948944
"Jacksonville","FL","Jacksonville","Duval",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149000,145990,144000,149000,150900,154990,159900,160820,164900,166000,164990,159990,162000,149900,151900,157700,159900,163995,165000,165000,165000,169000,172450,167645,169900,167990,169000,165000,169900,179000,179894,183900,180000,178000,175000,175000,173000,170000,174900,178000,184000,190000,198500,198000,199900,198400
