"RegionName","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08"
"New York","NY","New York","Queens",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2850,2850,2800,2799,2700,2750,2800,2795,2800,2800,2850,2899,2900,2900,2850,2800,2800,2800,2800,2850,2950,2995,3000,2995,3000,3000,3100,3000,2800,2800,2700,2700,2795,2850,2900,2900,2950
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",2,2374.5,2400,2448.5,2550,2500,2592.5,2850,2500,2750,2800,2750,2750,2857.5,2600,2800,2800,2850,2797,2725,2650,2600,2595,2500,2600,2610,2695,2595,2695,2660,2500,2595,2600,2400,2300,2300,2400,2400,2400,2400,2450,2410,2500,2485,2650,2600,2500,2785,2600,2500,2595,2675,2750,2795,2992.5,3027,3000,2990,3000,2987.5,2995,2945,2995,3250,3295,3300,3395,3495,3500,3450,3350,3445,3600,3500,3500,3450,3500,3450,3495,3395,3600,3250,3500,3450,3475,3580,3600,3700,3700,3750,3709,3700
"Chicago","IL","Chicago","Cook",3,,,,,,,,,2000,2100,2100,1795,1800,1867.5,1975,2000,1895,1895,1900,1850,1750,1650,1600,1600,1675,1746,1695,1695,1750,1750,1750,1700,1700,1600,1650,1625,1700,1795,1700,1850,1855.5,1990,1882.5,1795,1775,1750,1795,1700,1700,1773,1850,2027,2150,2155,2000,2050,1966,1845,1750,1750,1838.5,1800,1950,2050,2097.5,2022,1986,2000,2000,2095,1900,1850,2000,1900,1975,2100,2140,2100,2000,1995,1800,1799,1750,1750,1795,1900,2075,2195,2175,2150,2095
"Houston","TX","Houston","Harris",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1415,1259,1275,1315,1329,1400,1315,1445,1400,1500,1450,1500,1430,1499,1400,1377,1446,1595,1597.5,1600,1595,1600,1600,1587.5,1600,1627,1650,1750,1795,1750,1795,1759,1735,1748,1675,1786,1800,1771,1795,1800,1800,1790,1768,1700,1695,1700,1603.5,1629,1600,1650,1695,1699,1750,1750,1750,1747,1749
"Philadelphia","PA","Philadelphia","Philadelphia",5,,,,,,,,,,,,,,,,,1300,1300,1300,1200,1150,1125,1125,1150,1250,1325,1350,1300,1300,1275,1200,1100,1075,1100,1000,1100,1195,1250,1350,1400,1395,1325,1200,1200,1195,1200,1200,1200,1200,1200,1300,1495,1450,1450,1395,1300,1250,1250,1275,1300,1350,1400,1500,1500,1500,1500,1425,1400,1385,1350,1250,1300,1350,1450,1500,1500,1500,1362.5,1300,1300,1200,1250,1200,1200,1295,1400,1495,1500,1500,1497,1400
"Phoenix","AZ","Phoenix","Maricopa",6,1200,1190,1200,1200,1195,1175,1099.5,1100,1100,1099,1095,1000,1000,1025,1050,1049.5,1050,1017.5,1050,1000,995,975,959,995,995,1000,1025,1020,1050,1025,1000,1000,1000,1006,1005,1009,1025,1025,1015,1006,1020,1025,995,1027,1025,1010,1025,1024.5,1000,1025,1050,1100,1095,1095,1125,1125,1100,1099.5,1100,1100,1140,1150,1150,1154,1190,1195,1191.5,1167.5,1175,1150,1195,1195,1200,1200,1235,1195,1225,1195,1195,1200,1195,1180,1175,1200,1250,1295,1298,1339,1322,1322,1300
"Las Vegas","NV","Las Vegas","Clark",7,1195,1180,1150,1200,1050,1150,1195,1169.5,1150,1150,1100,1150,1150,1125,1150,1150,1150,1150,1150,1150,1125,1100,1100,1100,1095,1099,1099,1100,1100,1100,1100,1100,1096,1095,1095,1095,1095,1100,1100,1100,1100,1125,1100,1125,1100,1100,1100,1130,1120,1100,1107,1150,1150,1175,1181.5,1180,1175,1175,1175,1164.5,1175,1195,1200,1195,1200,1200,1200,1200,1200,1200,1200,1200,1200,1248,1225,1250,1250,1250,1250,1250,1250,1250,1200,1250,1289,1295,1300,1300,1325,1313.5,1300
"San Antonio","TX","San Antonio","Bexar",8,,,,,,,,1160,1100,1050,1100,1034.5,1095,1095,1095,1095,1100,1125,1100,1100,1095,1100,1100,1125,1150,1157,1100,1095,1150,1150,1130,1100,1100,1125,1100,1200,1155,1237,1250,1233.5,1225,1240,1225,1200,1200,1200,1200,1200,1200,1200,1200,1225,1250,1250,1250,1250,1250,1250,1250,1250,1250,1275,1295,1295,1300,1300,1300,1300,1295,1295,1297,1295,1300,1300,1300,1300,1300.5,1300,1300,1300,1295,1300,1295,1300,1325,1350,1374,1391,1395,1395,1375
"San Diego","CA","San Diego","San Diego",9,,,,,,,,,3000,2800,2800,2300,2412.5,2400,2400,2395,2400,2395,2300,2200,2250,2250,2200,2200,2250,2205,2150,2195,2200,2200,2200,2250,2200,2200,2195,2160,2200,2200,2200,2225,2295,2350,2300,2395,2350,2200,2395,2360,2300,2295,2300,2460,2500,2497.5,2500,2495,2500,2522.5,2500,2595,2650,2600,2600,2600,2595,2600,2685,2600,2600,2650,2710,2795,2790,2750,2795,2750,2750,2795,2750,2700,2675,2600,2643,2739,2860,2895,2900,2950,2995,2995,2995
"Dallas","TX","Dallas-Fort Worth","Dallas",10,,,,,,,,,,1395,1310,1395,1250,1295,1395,1395,1350,1275,1275,1275,1200,1250,1350,1264,1217,1300,1200,1213,1278.5,1250,1195,1200,1200,1232.5,1285,1465,1325,1358.5,1399,1419.5,1346,1377.5,1295,1404,1650,1700,1851,1595,1495,1550,1646.5,1600,1490,1450,1450,1450,1350.5,1400,1395,1489,1450,1547.5,1570,1500,1500,1645,1652.5,1500,1450,1495,1522.5,1500,1595,1795,1750,1695,1532,1532,1650,1695,1695,1550,1595,1650,1750,1825,1950,1999,2100,1980,1925.5
"San Jose","CA","San Jose","Santa Clara",11,,,,,,,,,,,,1995,1950,2095,2270,2262.5,2250,2275,2200,2295,2395,2250,2287.5,2264.5,2200,2250,2275,2290,2350,2372.5,2630,2597.5,2599,2400,2450,2450,2400,2495,2500,2495,2500,2695,2668,2695,2700,2695,2807,2695,2603,2606,2750,2850,2897.5,2850,2950,2995,2950,2900,2995,3000,3000,3000,3150,3200,3300,3211,3279,3300,3299,3295,3250,3300,3395,3325,3300,3400,3395,3379.5,3200,3200,3195,3195,3150,3200,3280,3300,3385,3468,3450,3500,3400
"Jacksonville","FL","Jacksonville","Duval",12,995,995,995,1000,997.5,1000,1050,1000,1000,1000,995,995,1000,1031,1050,1050,1050,1050,1000,999,1000,1025,1000,1000,1000,1040,1050,1054,1050,1060,1050,1034,1029.5,1000,1090,1150,1150,1165,1175,1190,1175,1190,1195,1190,1195,1196,1200,1217,1230,1230,1250,1200,1219,1200,1200,1200,1200,1200,1225,1235,1200,1200,1225,1225,1225,1105,1100,1100,1099,1098,1095,1095,1099,1100,1150,1175,1150,1195,1195,1195,1150,1150,1125,1150,1125,1150,1195,1200,1250,1250,1209
"San Francisco","CA","San Francisco","San Francisco",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5790,5650,5495,5897.5,5995,5995,5995,5895,5650,5897.5,6095,6500,6197.5,5872.5,5747.5,5900,5995,5950,5899,5680,5974,5600,5675,5750,5500,5331.5,5495,5200,5000,5499,5500,5395,5495,5495,5500,5500
"Indianapolis","IN","Indianapolis","Marion",14,,,,,,,1075,997.5,1000,1095,950,837.5,800,797,837.5,848.5,836,775,795,775,775,787,795,795,799,795,799,795,775,780,796,800,800,795,775,784,795,800,835,850,850,850,850,850,800,825,835,875,850,850,850,875,850,900,925,900,900,900,899,900,925,940,925,950,925,895,900,900,897,850,850,850,875,900,975,1000,975,975,950,995,940,975,955,950,995,995,1000,1010,1015,1025,1025
"Austin","TX","Austin","Travis",15,1400,1395,1385,1385,1350,1250,1275,1250,1275,1250,1250,1295,1300,1300,1395,1450,1425,1400,1350,1350,1317,1350,1395,1395,1395,1425,1450,1420,1450,1444,1395,1375,1395,1359.5,1379.5,1349,1378.5,1350,1385,1385,1425,1460,1495,1529,1510,1595,1550,1595,1550,1553,1571,1644,1600,1680,1695,1625,1650,1622.5,1599,1600,1650,1650,1700,1783,1795,1795,1775,1709,1775,1800,1800,1793,1795,1814,1800,1785,1753,1777,1767,1700,1695,1675,1650,1725,1790,1800,1800,1803.5,1800,1800,1795
