"RegionName","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08"
"New York","NY","New York","Queens",1,,,,,,,,,,,,,,,,2600,2680,2695,2789,2800,2800,2795,2650,2600,2450,2600,2550,2595,2615,2600,2625,2675,2700,2750,2700,2800,2800,2800,2800,2800,2900,2800,2700,2800,2850,2851,2900,2900,2900,2900,2895,2850,2950,2995,2900,2900,2900,2950,2899.5,2850,2900,2950,2950,2950,2900,3000,3000,3000,3000,2995,2990,2995,2995,2950,2985,2995,2990,2924,2950,2990,2930.5,2950,2925,2895,2900,2995,2995,3000,3000,3000,3000,3000
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2600,2350,2695,2600,2599,2595,2600,2795,2800,2850,2900,2990,2900,2950,2950,2995,2955,3000,3195,3195,3200,3200,3300,3300,3250,3200,3200,3300,3350,3382.5,3395,3262.5,3300,3250,3150,3475,3100,3495,3200,3250,3300,3495,3500,3500,3500,3500,3500
"Chicago","IL","Chicago","Cook",3,,1585,1500,1500,1500,1562.5,1500,1500,1600,1650,1700,1775,1507.5,1550,1595,1600,1600,1604,1650,1650,1650,1635,1600,1600,1601,1625,1650,1600,1600,1650,1650,1650,1595,1597,1562.5,1600,1596,1594,1583,1575,1600,1600,1635,1634,1660,1698,1676,1700,1695,1672,1690,1695,1750,1750,1775,1795,1800,1800,1793,1775,1750,1750,1754,1750,1769.5,1767.5,1789.5,1795,1750,1700,1705,1700,1725,1750,1752,1775,1750,1750,1735,1748,1700,1700,1695,1689.5,1690.5,1700,1723,1750,1773,1795,1800,1800
"Houston","TX","Houston","Harris",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1225,1209,1250,1250,1300,1395,1400,1400,1450,1450,1450,1450,1450,1450,1460,1475,1500,1540,1550,1595,1550,1550,1525,1515,1550,1577,1575,1575,1577,1550,1500,1495,1468.5,1485,1450,1400,1445,1400,1495,1500,1500,1500,1500,1500,1500,1500
"Philadelphia","PA","Philadelphia","Philadelphia",5,,,,,,,,,,,,,,1350,1450,1485,1425,1440,1437.5,1400,1350,1300,1300,1300,1200,1300,1395,1400,1400,1350,1325,1250,1200,1200,1200,1150,1150,1200,1280,1327.5,1395,1350,1300,1275,1275,1250,1250,1250,1200,1200,1250,1295,1500,1495,1495,1450,1395,1350,1350,1300,1375,1400,1495,1527.5,1580,1500,1500,1500,1450,1400,1400,1395,1400,1400,1500,1550,1550,1500,1400,1395,1375,1300,1392.5,1300,1345,1375,1500,1500,1545,1500,1500,1450
"Phoenix","AZ","Phoenix","Maricopa",6,,1300,1200,1200,1200,1125,1150,1195,1100,1100,1099,1095,1000,1025,1025,1050,1050,1050,1050,1050,1000,1000,995,995,995,995,1000,1000,1000,1050,1045,1000,1000,1000,1000,999,995,999,999,1000,1000,1000,1000,995,1049,1050,1050,1050,1050,1050,1050,1095,1100,1100,1112.5,1150,1125,1125,1125,1150,1150,1190,1195,1200,1200,1200,1199,1200,1195,1199,1195,1200,1207.5,1225,1250,1250,1200,1200,1200,1200,1200,1200,1200,1195,1200,1250,1295,1299,1320,1325,1325,1300
"Las Vegas","NV","Las Vegas","Clark",7,,1250,1250,1200,1200,1072.5,1150,1200,1200,1200,1195,1100,1150,1150,1100,1120,1175,1150,1150,1150,1150,1147,1100,1100,1100,1100,1100,1095,1095,1100,1100,1100,1095,1095,1095,1078.5,1095,1085,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1150,1150,1150,1150,1150,1150,1195,1195,1195,1195,1195,1195,1199,1200,1200,1225,1200,1200,1225,1225,1222.5,1225,1225,1225,1245,1250,1250,1250,1250,1274.5,1200,1200,1200,1250,1250,1200,1250,1295,1300,1340,1350,1350,1350,1350
"San Antonio","TX","San Antonio","Bexar",8,,,,,,,,1180,1155,1175,1100,1195,1095,1095,1100,1100,1150,1165,1195,1150,1125,1100,1100,1100,1115,1150,1150,1000,1000,1100,1100,1100,1095,1075,1095,1043,886,900,890,915,909,995,938.5,950,1000,1095,1055,1070,1070,1075,1100,1100,1100,1135,1150,1150,1125,1104.5,1100,1098,1100,1100,1125,1100,1124,1150,1135,1124,1100,1100,1104,1100,1135,1138,1100,1085,1074.5,1075,1092.5,1095,1056.5,1060,1095,1027.5,1150,1189.5,1195,1200,1225,1275,1275,1250
"San Diego","CA","San Diego","San Diego",9,,,,,,,,3500,2995,2750,2495,2500,2097.5,2195,2190,2250,2295,2250,2200,2150,2100,2100,2095,2090,2000,2050,2000,1900,1895,2000,1995,1995,2000,1995,1995,1995,1951,1900,1900,1950,1995,2000,1999,1900,2200,2245,2195,2200,2200,2200,2195,2150,2250,2300,2295,2300,2300,2395,2300,2300,2350,2395,2300,2295,2250,2300,2300,2350,2350,2350,2395,2400,2400,2400,2400,2395,2300,2395,2375,2350,2395,2300,2300,2350,2400,2491.5,2499,2500,2595,2600,2600,2595
"Dallas","TX","Dallas-Fort Worth","Dallas",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1095,1150,1060,1000,1100,1110,1195,1190,1100,1121,1199,1180,1195,1250,1295,1250,1250,1250,1250,1300,1250,1250,1230,1250,1295,1300,1350,1325,1300,1300,1299,1295,1300,1300,1350.5,1395,1400,1400,1450,1450,1400,1400,1400,1400,1400,1450,1495,1471,1450,1450,1425,1450,1400,1450,1490,1400,1500,1515,1600,1600,1650,1695,1650,1650
"San Jose","CA","San Jose","Santa Clara",11,,,,,,,,,,,,,1995,1996.5,2100,2197.5,2200,2300,2300,2295,2250,2295,2250,2200,2099.5,2200,2200,2200,2200,2275,2295,2200,2250,2300,2200,2300,2295,2225.5,2274,2238,2295,2300,2350,2341.5,2499.5,2550,2550,2600,2495,2495,2495,2499.5,2600,2695,2700,2800,2795,2795,2800,2795,2795,2850,2800,2950,3000,3150,3100,3100,3195,3160,3100,3100,3090,3175,3100,3100,3150,3200,3200,3095,3000,2995,2995,2995,3099,3150,3200,3200,3300,3350,3395,3300
"Jacksonville","FL","Jacksonville","Duval",12,,950,950,950,995,995,1000,1000,1000,1000,995,995,995,995,1000,1000,1000,1000,1000,995,995,975,950,975,975,975,995,995,1000,1000,1000,1050,1000,999,999,995,1000,1000,1000,1025,1050,1050,1050,1075,1050,1050,1050,1050,1050,1050,1075,1075,1095,1095,1095,1050,1050,1050,1050,1050,1050,1050,1075,1075,1095,1095,1095,1095,1095,1095,1095,1095,1095,1095,1100,1100,1100,1100,1150,1150,1125,1100,1100,1100,1100,1100,1100,1150,1150,1195,1200,1195
"San Francisco","CA","San Francisco","San Francisco",13,,,,3300,3200,3200,3200,3087.5,3200,3200,3250,3397.5,3097.5,3000,3000,3000,2950,2999,3100,3000,3325,3400,3200,3200,3200,3295,3500,3250,3300,3500,3550,3250,3490,3299.5,3236,3400,3500,3500,3500,3400,3800,3800,3682.5,3500,3650,3950,3950,4000,3982.5,3800,3800,3850,4000,3950,4000,4095,4000,4250,4200,4500,4495,4495,4500,4495,4500,4600,4600,4800,4600,4600,4500,4442.5,4500,4505,4500,4500,4500,4500,4462.5,4250,4200,4200,4095,4000,4200,4400,4395,4300,4442,4350,4450,4487.5
"Indianapolis","IN","Indianapolis","Marion",14,,,,,,,,,,,,,,797,796,837.5,800,750,750,775,750,750,775,795,795,799,775,775,751,765,775,775,777.5,775,775,750,750,775,795,800,800,800,850,850,804,795,800,825,850,850,850,850,875,850,890,900,875,895,850,850,850,900,900,925,950,925,900,900,895,850,850,850,850,850,900,950,950,947.5,1000,950,925,910,925,950,950,995,999,1000,1042.5,1020,1045,1000
"Austin","TX","Austin","Travis",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1075,991,1050,1095,1250,1131,1195,1250,1350,1350,1300,1300,1311,1395,1425,1395,1395,1450,1435.5,1400,1395,1350,1350,1360,1350,1375,1410,1450,1500,1538.5,1527.5,1545,1550,1550,1500,1500,1535,1500,1399,1355,1440,1450,1425,1375,1330,1350,1350,1500,1550,1600,1650,1650,1675,1650,1650
"Fort Worth","TX","Dallas-Fort Worth","Tarrant",16,,,,,,,,,,,,,,1250,1250,1250,1250,1250,1250,1225,1200,1200,1200,1200,1200,1245,1250,1200,1200,1200,1200,1200,1195,1195,1225,1200,1195,1195,1195,1200,1250,1285.5,1295,1250,1295,1285,1250,1295,1295,1275,1275,1295,1325,1350,1350,1350,1347.5,1300,1325,1345,1350,1350,1395,1395,1395,1395,1395,1395,1395,1395,1395,1395,1400,1400,1445,1450,1445,1422.5,1450,1450,1427.5,1417.5,1400,1400,1450,1450,1495,1500,1525,1550,1550,1535
"Detroit","MI","Detroit","Wayne",17,,,900,900,900,850,800,850,850,800,850,800,750,750,750,750,750,750,750,750,735,700,695,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,750,725,725,700,725,720,718.5,725,700,700,725,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,775,775
"Columbus","OH","Columbus","Franklin",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1095,975,1000,950,950,950,950,1000,950,950,969,1000,1050,995,1050,1050,1050,1095,1014.5,1100,1100,1095,1050,1147,1110,1195,1100,1129,1150,1197,1200,1195,1150,1150,1095,1170,1199,1095,1095,1175,1199,1198,1250,1200,1250,1250,1200
"Memphis","TN","Memphis","Shelby",19,,,,,,,,1100,1200,1172.5,1100,1100,950,975,925,975,950,950,900,950,975,950,890,895,895,900,900,895,895,900,885,850,875,875,895,895,850,875,875,850,850,850,850,850,850,850,875,895,895,850,850,875,895,895,895,875,875,875,895,875,875,850,875,875,850,862.5,895,875,875,875,895,875,895,895,895,895,895,925,925,895,895,900,895,925,895,895,895,895,895,895,895,875
"Charlotte","NC","Charlotte","Mecklenburg",20,,995,995,995,995,995,995,995,995,995,995,995,950,950,950,975,995,999,1025,1000,1025,999,995,995,996.5,995,1000,1000,1050,1075,1099,1075,1050,1050,1050,1050,1050,1000,1022,1100,1125,1145,1100,1150,1100,1100,1100,1095,1075,1050,1075,1085,1100,1100,1150,1150,1150,1195,1175,1175,1195,1175,1200,1225,1225,1225,1225,1250,1225,1225,1200,1200,1250,1250,1250,1259.5,1250,1275,1295,1265,1295,1275,1295,1250,1300,1345,1375,1399,1400,1399,1400,1395
"El Paso","TX","El Paso","El Paso",21,,,,,,,,,,,,,,,,1300,1250,1200,1200,1175,1200,1195,1185,1200,1200,1200,1200,1200,1195,1200,1200,1150,1100,1100,1095,1025,1025,1025,1050,1075,1095,1100,1100,1100,1100,1100,1050,1100,1075,1075,1075,1075,1150,1150,1150,1135,1100,1100,1100,1100,1100,1100,1125,1150,1150,1150,1150,1150,1100,1100,1100,1100,1100,1100,1100,1100,1100,1150,1105,1100,1075,1095,1075,1050,1075,1095,1100,1100,1125,1125,1100,1100
"Boston","MA","Boston","Suffolk",22,,,,,,,,,2100,2105,2110,2200,2400,2275,2200,2100,2100,2200,2275,2350,2500,2472.5,2450,2400,2400,2400,2350,2300,2300,2350,2400,2400,2650,2600,2600,2590,2600,2500,2499,2500,2450,2475,2500,2470,2450,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2575,2595,2550,2600,2700,2700,2650,2650,2600,2600,2600,2600,2550,2500,2600,2602,2800,2800,2700,2695,2600,2600,2600,2600,2600,2600,2600,2650,2800,2800,2800,2800,2700,2700,2700,2700
"Seattle","WA","Seattle","King",23,,,,,,,,,,,,,,,1595,1595,1700,1750,1795,1650,1600,1595,1500,1500,1495,1495,1550,1595,1650,1695,1700,1750,1750,1700,1700,1600,1597.5,1625,1595,1595,1600,1675,1619.5,1600,1745,1900,1912.5,1900,1935,1895,1900,1950,1995,1995,2100,2195,2150,2100,2100,2000,2000,1995,2050,2200,2200,2295,2400,2400,2300,2280,2250,2295,2295,2300,2375,2300,2370,2450,2450,2495,2450,2400,2400,2300,2450,2435,2500,2595,2562.5,2600,2650,2600
"Baltimore","MD","Baltimore","Baltimore City",24,,,1300,1300,1300,1350,1200,1295,1297.5,1350,1300,1300,1250,1200,1250,1250,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1250,1200,1250,1256,1250,1200,1225,1250,1250,1300,1300,1325,1300,1300,1300,1300,1300,1299,1300,1300,1350,1375,1395,1400,1400,1385,1350,1350,1350,1350,1350,1350,1398,1400,1399,1400,1350,1350,1300,1350,1350,1300,1300,1300,1350,1399,1395,1400,1400,1350
"Denver","CO","Denver","Denver",25,,,,,,,,,,,,,,,,,,1295,1350,1400,1395,1425,1350,1300,1300,1300,1337.5,1395,1400,1425,1495,1500,1450,1400,1375,1445,1500,1500,1567,1600,1445,1495,1575,1415,1500,1695,1700,1750,1650,1650,1627,1650,1750,1800,1800,1800,1850,1895,1922.5,1895,1885,1995,1950,1900,1995,1995,2000,2095,2000,1950,1900,1950,1995,1980,1995,1995,1995,1982.5,1950,1975,1950,1900,1850,1900,1895,1950,1950,2000,2000,2000,2000,2000
"Washington","DC","Washington","District of Columbia",26,,,1997,1999,2000,2125,2300,2200,2158,2200,2156.5,2250,2400,2350,2300,2300,2350,2350,2400,2450,2395,2400,2443,2300,2350,2385,2400,2395,2300,2400,2300,2300,2400,2495,2450,2408.5,2410,2585,2500,2400,2350,2450,2472.5,2450,2460,2350,2500,2400,2400,2450,2400,2400,2500,2500,2500,2500,2500,2500,2454.5,2400,2500,2430,2500,2500,2500,2500,2500,2550,2600,2550,2500,2500,2550,2550,2500,2500,2577.5,2550,2600,2597,2510,2500,2500,2500,2550,2600,2575,2600,2695,2650,2675,2600
"Nashville","TN","Nashville","Davidson",27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1199.5,1195,1200,1395,1350,1395,1395,1395,1375,1375,1395,1400,1450,1495,1495,1495,1495,1495,1495,1495,1450,1500,1500,1500,1595,1595,1550,1500,1500,1500,1550,1550,1550,1550,1550,1599,1595,1595,1569,1500,1550,1500,1595,1625,1650,1650,1695,1700,1675,1650
"Milwaukee","WI","Milwaukee","Milwaukee",28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1185,1175,1195,1195,1195,1175,999.5,999.5,975,1000,1099,1000,1085,1175,1100,1062.5,1095,1075,1075,1100,1150,1195,1100,1185,999.5,1140,1050,1025,1099,986,1000,1045,1100,1100,1199,1095,1095,1095,1095
"Tucson","AZ","Tucson","Pima",29,,,1050,1050,1050,1062.5,1075,1100,1050,1012.5,1050,1050,1000,1000,1007.5,1025,1045,995,995,995,999.5,995,975,975,995,995,999,1000,1000,1000,995,995,995,995,995,985,975,975,975,995,995,995,995,975,995,995,995,995,995,995,995,995,1000,1025,1049,1000,999,995,995,995,995,995,995,1025,1025,1025,1000,1025,1045,1045,1050,1050,1050,1075,1095,1095,1050,1050,1050,1050,995,1050,1050,1025,1050,1095,1100,1195,1195,1150,1150,1150
