"RegionName","State","Metro","CountyName","SizeRank","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08"
"New York","NY","New York","Queens",1,1900,1900,1850,1950,2000,2000,2025,2100,2100,2200,2100,2000,2100,2100,2100,2100,2150,2195,2195,2150,2100,2095,2095,2100,2100,2150,2190,2175,2150,2195,2195,2200,2200,2200,2190,2200,2200,2200,2200,2200,2200,2200,2260.5,2275,2250,2265,2250,2250,2250,2250,2295,2295,2200,2150,2150,2200,2200,2175,2195,2200,2200,2250,2200,2200,2150,2200,2200,2200,2195,2155,2150,2150,2160,2178.5,2195,2159,2195,2190,2200,2250,2267,2000,2100,2200,2200,2200,2200,2200,2200,2250
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",2,,,,,,,,,,,,,,,,,,1100,1010,895,850,850,850,875,925,925,905,897,895,900,950,925,934.5,945,950,1017.5,1032.5,1025,1068,1050,995,1095,1050,1050,945,1000,1063,1050,999,1031,1095,1115,1195,1295,1225,1200,1200,1295,1275,1285,1295,1297,1295,1370,1350,1375,1375,1375,1350,1350,1425,1445,1522.5,1495,1562.5,1500,1615,1495,1529.5,1452.5,1495,1395,1450,1625,1875,1699.5,1645,1815,1907.5,1931
"Chicago","IL","Chicago","Cook",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1544.5,1375,1292,1335,1305,1200,1150,1355,1395,1441,1395,1345,1425,1278,1200,1225,1150,1150,1157,1225,1288,1355,1355,1300,1195,1185,1150,1150,1150,1160,1175
"Houston","TX","Houston","Harris",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1169,1080,1095,1041.5,1132.5,1221,1235,1225,1205,1000,1041.5,1041.5,1065,1145,1195,1033,1142.5,1050,1095,1041.5,1197.5,1409,1375,1384.5,1361,1365,1365,1349.5,1375,1299,1239,1285,1307,1195,1132,1275,1275,1239,1225,1245,1220,1195,1213
"Philadelphia","PA","Philadelphia","Philadelphia",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,869,850,900,995,950,950,925,925,905,900,952.5,950,955,990,995,1050,1040,1015,990,1025,1045,1095,950,1000,1035,1030,1060,1050,1050,1025,1045,1095
"Phoenix","AZ","Phoenix","Maricopa",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,708.5,701.5,663.5,670,689,692,680,700,683.5,694.5,715,694,690,720,681,756,790,772,792,804,782
"San Diego","CA","San Diego","San Diego",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1421,1571.5,1532.5,1550,1558.5,1403,1480,1512.5,1350,1495,1380,1395,1521,1676,1739,1658.5,1725,1730,1660,1701,1593.5
"Dallas","TX","Dallas-Fort Worth","Dallas",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,929,914.5,899,936.5,936.5,925,940,950,924,1006,1006,1010,964,985,1064.5,1029.5,1026,1000,974,1035,972.5,965,962,995,1045,1042,1105,1103,1108,1090,1105,1124.5,1147,1075.5,1100,1073,1097,1124.5,1149,1080,1169.5,1165,1165,1145,1147.5,1155,1180,1200
"San Jose","CA","San Jose","Santa Clara",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100,2145,2115,2115,2173,2111,2188,2313,2365,2335,2335,2345,2365,2295,2330,2290,2185,2210,2267.5,2355,2047.5,2199,2060,2077.5,2027.5,2250,2225,2300,2280,2200,2223,2260.5,2269.5
"Jacksonville","FL","Jacksonville","Duval",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,615,600,637,645,647.5,629,700,680,700,680,766.5,700,700,712.5,738,745,747.5,735,735,738,780,796.5,745,741.5,738,700,745,764,822.5,810,804,840,875,900,830
"San Francisco","CA","San Francisco","San Francisco",11,,,,,,,,,,,,,,,,,,,,1950,1797.5,1697.5,1695,1795,2000,1948,1855,2000,2062.5,2085,2127,2124,2110,2085,2124,2073,2045,1999,2135,2080,2186,2186,2175,2195,2195,2357,2400,2397.5,2292.5,2389.5,2395,2400,2500,2600,2600,2595,2500,2700,2590,2630,2500,2500,2495,2647.5,2597,2700,2600,2500,2600,2757,2700,2695,2646,2611,2700,2700,2650,2395,2450,2395,2395,2375,2450,2400,2400,2495,2607.5,2574,2600,2574.5
"Indianapolis","IN","Indianapolis","Marion",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,567,569,604.5,610,675,622.5,629,602,619.5,624,636.5,675,729,695,699,740,740,694,700,722.5,765
"Austin","TX","Austin","Travis",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,675,630,698.5,757.5,750,725,765,760.5,775,775,750,735,750,790,809,825,850,850,849,850,850,850,800,850,850,825,860,825,825,835,802,860,825,915,900,930,940,950,940,940,925,912.5,855,872,852.5,855,837,900,930,932,945,940,925,900,895
"Boston","MA","Boston","Suffolk",14,,,,,,,,,,,,1300,1300,1275,1250,1250,1295,1325,1385,1350,1375,1275,1325,1325,1350,1350,1395,1395,1375,1395,1497.5,1500,1500,1500,1495,1450,1450,1450,1485,1495,1495,1495,1495,1485,1550,1500,1500,1500,1525,1550,1530,1550,1550,1575,1550,1595,1600,1625,1625,1625,1615,1610,1625,1625,1625,1635,1640,1650,1675,1665,1650,1650,1650,1625,1625,1600,1600,1650,1645,1650,1650,1640,1650,1625,1645,1650,1660,1665,1675,1695
"Seattle","WA","Seattle","King",15,,,,,,,,,,,,,,,,,,,,,,,,,,,1050,1047.5,1065,1080,1143,1176.5,1175,1141,1135.5,1135,1210,1185,1125,1125,1175,1177.5,1225,1153,1200,1205,1200,1175,1150,1205,1245,1297.5,1365,1387,1365,1351.5,1358,1363.5,1350,1360,1350,1379,1365,1398.5,1415,1424,1441.5,1387,1389,1424,1435,1401,1486,1430,1475,1400,1426,1428,1485,1400,1432,1442,1460.5,1441,1450,1472,1500,1575,1555,1521
"Baltimore","MD","Baltimore","Baltimore City",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,890,999,1035,960,1050,1044.5,944.5,930,935,927.5,950,900,890,900,928,905,965,977.5,992.5,985,1047.5,890,945,950,930,895,937.5,1022.5,1025,1025,1025,1100,1045,1000,1005
"Denver","CO","Denver","Denver",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1125,1165,1160,1172.5,1142,1152.5,1250,1190,1247.5,1245,1128,1150,1200,1151,1145,1156,1125,1160,1100,1258,1399,1199,1165,1184.5,1150,1257.5,1220,1350,1395,1407,1409,1390,1405
"Washington","DC","Washington","District of Columbia",18,,,,,,,,,,,,,,,,,,,,,1880,1910,1845,1821.5,1859.5,1880,1815,1820,1837.5,1852.5,1847,1846,1836,1870,1885,1850,1870,1889,1795,1755,1760.5,1850,1810,1750,1746,1695,1675,1625,1590,1595,1615,1640,1681,1720,1691,1630.5,1670,1715,1735,1710,1724,1697,1687,1695,1700,1745,1744,1733,1700,1744,1717.5,1720,1750,1775,1757,1735,1774,1750,1742.5,1675,1699,1717.5,1775,1740.5,1795,1763,1790,1775,1810,1920
"Nashville","TN","Nashville","Davidson",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1414.5,1543,1675,1487.5,1693.5,1677,1535,1687,1733.5,1734,1734,1724,1656,1616
"Portland","OR","Portland","Multnomah",20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,897.5,895,895,890,880,994,900,945,976,1050,1095,995,991,995,995,1155,1155,1145,1145,1155,1155,1142.5,1100,1095,1160,1245,1237.5,1275,1225,1275,1225,1275,1295,1265,1250,1256,1200,1199,1218,1295,1171,1131.5,1232.5,1195,1250,1233,1275,1265,1268,1295,1265
"Albuquerque","NM","Albuquerque","Bernalillo",21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,510,525,525,525,525,525,557.5,545,525,522.5,525,525,522.5,525,525,570,570,565,550,550,550,549,530,549.5,525,550,549,590,515,535,550,535,525,550,535,575,539
"Sacramento","CA","Sacramento","Sacramento",22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,970,912.5,925,877.5,925,895,895,995,950,997.5,950,1000,1000,925,950
"Long Beach","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",23,,,,,,,,,,,,,,,,,,,,740,750,750,750,795,800,765,765,795,765,785,795,782.5,855,825,795,800,887.5,850,837.5,750,800,795,745,752.5,770,750,750,750,750,750,795,822.5,820,800,825,795,825,807.5,800,825,862.5,850,850,895,897.5,895,950,925,950,950,950,950,950,1007.5,1050,1095,1050,1095,1025,1100,1050,1050,1100,1150,1195,1195,1195,1112.5,1180,1150
"Miami","FL","Miami-Fort Lauderdale","Miami-Dade",24,,,,,,,,,,,,,,,,,,,,,,1350,1350,1350,1350,1350,1450,1450,1380,1462.5,1400,1285,1362.5,1450,1575,1550,1550,1500,1545,1600,1600,1600,1600,1550,1600,1600,1600,1600,1600,1600,1600,1610,1605,1600,1600,1609.5,1600,1627,1623.5,1650,1629,1600,1675,1700,1712.5,1700,1650,1680,1680,1700,1725,1700,1700,1725,1669,1700,1650,1682,1675,1605,1600,1640,1550,1597.5,1569,1600,1600,1550,1568,1550
"Saint Louis","MO","St. Louis","Saint Louis City",25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,685,640,635,679.5,695,685,685,695,650,650,675,675,637.5,625,650,650,650,635,650,685,650,650,635,650,650,650,675,650,660,680,730,745
"Pittsburgh","PA","Pittsburgh","Allegheny",26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,937.5,850,895,865,837.5,875,875,852.5,875,850,850,850,910,950,900,902.5
"Jersey City","NJ","New York","Hudson",27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1750,1825,1835,1585,1580,1580,1580,1580,1600,1580,1580,1580,1580,1580,1647.5,1600,1580,1580,1580,1580,1600,1600,1600,1600,1600,1600,1572.5,1560,1575,1600,1580,1650,1650,1700,1705,1750,1747.5,1750,1797.5,1740,1700,1717.5,1730,1720,1800,1737.5,1710,1760,1802.5,1750,1860,1705,1800,1800,1850,1830,1860,1970,2000,1934
"Arlington","VA","Washington","Arlington",28,,,,,,,,,,,,,,,,,,,2050,2047,1745,1730,1680,1680,1652,1660,1660,1654,1700,1660,1666,1644,1610,1568,1637.5,1613,1680,1670,1652,1645,1614,1590,1718,1675,1564,1548,1600,1595,1630,1615,1662.5,1658,1604,1662,1664,1550,1550,1585,1616,1565,1587.5,1635,1638,1645.5,1637.5,1648,1642,1574,1632.5,1646,1610,1664,1622,1630,1675,1697.5,1584,1653,1569,1583,1648,1608,1739,1850.5,1862,1842.5,1815,1809,1836,1734.5
"Irvine","CA","Los Angeles-Long Beach-Anaheim","Orange",29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1635,1665,1750,1740,1740,1755,1740,1765,1720,1730,1710,1730,1730,1755,1760,1815,1765,1775,1845,1840,1857.5,1800,1750,1805,1780,1860,1930,1865,1837.5,1865,1960,1890,1897.5,1890,1882.5,1920,1925
"Bellevue","WA","Seattle","King",30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1310,1310,1280,1230,1295,1338,1405,1432.5,1413,1396,1427,1389,1375,1404,1462,1460,1430,1471,1460,1462.5,1435,1470,1498,1475,1474,1525,1594,1594,1573,1575,1609,1407,1485,1455,1425,1515,1595,1590,1710,1655,1634,1705,1693.5,1655
"Cambridge","MA","Boston","Middlesex",31,,,,,,,,,,,,,1300,1350,1375,1500,1512.5,1615,1857.5,1860,1650,1877.5,1895,1755.5,1705,1525,1500,1550,1600,1780,1800,1897.5,1895,1845,1777.5,1795,1815,1750,1700,1650,1650,1650,1650,1700,1650,1795,1815,1812.5,1797.5,1750,1662.5,1700,1835,1750,2000,2045,1835,1700,1700,1695,1650,1750,1750,1765,1752.5,1900,2000,1950,1800,1800,1805,1800,1750,1800,1850,1800,1850,1752.5,1800,1685,1750,1775,1750,1894.5,1900,1900,1850,1800,1795,1775
"Miami Beach","FL","Miami-Fort Lauderdale","Miami-Dade",32,,,,,,,,,,,,,,,,,,,,,,1100,1100,1200,1200,1250,1190,1250,1200,1200,1200,1150,1150,1210,1200,1200,1300,1300,1300,1219,1300,1300,1300,1250,1250,1300,1300,1250,1200,1250,1362.5,1300,1350,1300,1265,1250,1275,1300,1300,1400,1389,1400,1400,1350,1350,1325,1350,1348,1300,1300,1350,1375,1400,1412.5,1400,1300,1300,1300,1300,1300,1300,1200,1250,1300,1275,1300,1300,1300,1294,1275
