"RegionName","State","Metro","CountyName","SizeRank","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08"
"New York","NY","New York","Queens",1,1.9,1.97,2.18,3.59,3.12,6.23,3.31,1.43,2.05,2.84,2.19,2.08,2.33,2.86,2.02,2.63,3.01,1.96,3.28,3.57,1.75,1.65,2.71,1.09,2.14,5.93,1.81,2.31,2.25,1.69,2.51,2.1,1.36,3.79,0.64,1.51,1.34,2.41,2.04,1.45,1.64,1.91,1.68,1.79,1.89,1.43,1.37,2.77,1.93,1.61,2.2,2.45,1.9,3.48,2.38,1.39,2.36,2.26,2.95,1.92,2.15,2.42,2.6,2.35,1.91,2,2.48,2.67,2.78,2.55,2.63,2.57,4.13,3.32,3.11,3.6,3.37,3.56,3.12,3.41,2.91,3.67,4.9,5.29,5.51,5.48,6.49,7.33,6.43,5.69,6.49,7.53,6.18,7.38,7.25,10.7,9.81,13.46,13.41,15.1,13.97,16.17,20.03,17.21,16.75,15.77,15.96,14.64,15.52,19.16,18.35,17.69,17.03,14.81,15.3,18.25,16.86,16.56,14.32,13.13,20.5,16.58,16.97,16.71,20.28,15.27,15.31,17.91,16.02,20.29,17.45,19.17,19.14,21.41,18.68,20.89,17.57,17.82,17.81,16.9,16.72,16.95,16.68,16.33,16.79,20.9,17.51,17.98,12.68,13.96,13.46,12.92,12.84,12.36,12.48,12.11,11.17,12.53,10.68,11.93,10.67,13.33,8.43,11.63,9.18,10.8,9.96,9.2,10.18,10.37,11.06,9.99,10.09,8.54,6.62,8.1,7.66,7.57,7.67,7.22,7.98,7.28,8.07,7.52,9.29,8.14,5.66,5.1,5.7,5.82,7.88,5.54,4.29,4.57,7.65,8.97,7.75,5.08,4.6,4.27
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.65,29.37,28.97,27.73,28.64,25.93,28.01,26.96,24.05,21.74,21.57,18.44,19.17,15.19,14.29,13.66,13.5,12.86,15.11,15.04,12.62,12.36,11.76,10.52,10.61,9.69,10.4,9.32,8.41,9.47,8.41,8.84,8.7,10.61,7.46,8.85,7.12,6.11,6.49,6.86,7.1,7.2,5.04,6.3,6.37,6.97,6.71,5.79,3.81,5.94,4.72,4.74,5.1,5.32,4.72,5.29,6.22,5.38,3.96,4.94,2.81,3.39,3.5,3.63
"Chicago","IL","Chicago","Cook",3,2.58,2.18,2.02,5.49,1.76,2.85,2.82,2.48,2.02,2.75,2.31,1.58,3.47,2.75,3.98,3.59,3.26,2.39,2.1,1.98,2,2.44,3.01,2.55,3.14,4.65,3,4,3.93,1.79,2.94,4.54,2.91,3.43,4.47,3.63,3.21,4.3,3.48,3.2,3.62,3.14,3.86,3.29,3.24,3.41,3.61,3.69,3.49,4.04,4.37,3.81,3.72,4.27,4.01,3.78,4.16,3.75,4.49,5.54,4.68,4.82,4.71,4.18,3.88,5.07,5.94,4.23,4.79,6.56,5.89,7.73,6.43,6.7,6.28,7.8,6.54,6.41,6.64,6.7,7.89,9.4,9.9,12.03,10.91,17.93,14.88,15.21,16.05,15.74,14.12,15.5,14.61,20.1,22.2,24.74,31.14,34.83,35.33,35.32,33.17,32.86,31.49,34.23,33.03,32.06,38.15,38.13,41.54,48.76,45.28,42.24,42.36,42.28,40.96,46.68,43.03,49.62,45.86,48.26,49.92,52.87,51.07,50.95,55.02,49.07,49.12,49.81,51.49,48.73,51.52,52.33,54.73,52.43,57.68,59.13,56.26,58.82,55.71,56.26,51.71,54,51.37,51.24,56.25,56.99,59.36,51.06,48.82,47.12,41.71,41.38,43.04,40.65,38.01,38.07,37.73,40.86,38.07,39.65,35.03,31.88,31.78,30.28,28.9,31.02,29.85,29.88,30.39,31,33.16,27.95,29.27,24.92,25.97,23.82,24.71,23.26,27.26,25.64,26.63,27.42,23.41,23.09,24.16,23.68,23.6,21.37,22.67,21.54,21.23,21.47,22.17,26.5,21.62,19.37,19.1,16.33,17.62,18.08
"Philadelphia","PA","Philadelphia","Philadelphia",4,2.95,4.06,2.22,2.57,3.19,3.27,3.03,1.83,2.28,2.06,1.91,1.76,2.27,1.8,2.21,2.36,2.41,2.42,2.07,1.9,2.01,2.05,2.56,1.91,2.17,2.5,2.51,2.45,2.53,2.45,2.18,2,1.79,2.63,3.23,3.37,2.33,2.61,3.46,2.87,2.8,2.3,2.5,3.33,2.82,3.52,3.66,3.16,3.56,8.01,7.17,8.87,6.36,6.25,4.42,6.27,6.47,6.26,6.03,4.81,6.4,7.97,7.23,7.61,6.13,5.6,5.13,6.39,6.98,6.15,8.86,9.19,10.76,11.05,10.97,11.24,9.02,8.1,7.19,7.79,7.55,8.96,11.42,8.91,9.94,12.71,9.54,11.47,7.81,9.64,7.42,9.1,10.7,10.27,10.16,13.47,12.38,14.7,13.12,14.24,11,15.86,11.18,11.94,13.04,11.29,11.47,10.07,13.63,14.26,10.74,12.47,10.73,11.31,12.8,13.92,13.32,12.76,10.37,16.45,14.59,15.99,16.41,19.74,16.09,14.22,15.85,14.72,13.91,14.75,16.82,15.67,14.2,16.99,16.72,14.99,17.54,20.42,16.8,14.83,12.54,17.95,16.93,16.23,15.49,19.11,19.37,15.94,17.75,15.53,17.06,18.4,17.31,16.84,16.67,17.91,18.17,15.09,16.21,14.73,17.55,13.94,16.04,16.47,15.35,12.88,14.46,15.78,14.78,18.66,16.84,16.49,16.29,16.54,15.27,16.76,14.72,15.58,14.81,14.98,15.25,16.18,17.25,17.67,12.95,13.95,12.81,13.85,12.54,14.16,12.5,13.15,16.68,14.04,14.95,14.72,12.93,11.15,11.3,12.4
"Phoenix","AZ","Phoenix","Maricopa",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.27,51.84,45.57,46.03,44.52,37.01,36.93,41.6,31.41,37.2,24.21,32.1,30.63,25.7,29.6,24.81,23.65,22.26,23.26,21.64,24.55,23.95,16.78,18.73,18.19,18.63,15.97,20.31,16.63,19.06,15.15,20.37,15.06,19.39,17.49,18.02,25.59,16.45,23.81,17.32,16.22,13.45,12.62,15.11,15.81,14.82,16.2,14.24,13.46,10.39,13.5,12.79,12.16,12.34,13.01,9.97,11.79,13.03,10.98,11.95,11.32,10.75,12.62,10.65,11.79
"Las Vegas","NV","Las Vegas","Clark",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.07,33.02,35.09,31.13,28.35,29.5,26.67,28.6,27.77,22.66,26.71,29.35,16.62,23.35,25.75,24.93,24.81,22.48,22.02,23.12,20.65,25.92,19.48,19.1,24.61,23.49,20.46,22.98,21.04,22.69,19.92,21.19,25.61,22.71,20.21,22.96,21.9,21.48,24.02,22,21.7,20.98,22.02,19.82,19.88,18.09,18.06
"San Diego","CA","San Diego","San Diego",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.75,29.54,33.73,40.47,40.26,43.97,45.78,44.95,46.06,42.57,43.42,38.37,36.02,36.11,41.46,40.96,38.99,39.01,43.39,50.44,40.56,43.92,41.46,41.86,39.17,37.02,39.03,43.23,40.62,39.78,45.64,42.78,40.94,40.86,45.2,45.59,39.3,48.18,43.79,47.7,42.36,45.47,50.63,50.11,41.87,41.52,36.17,42.6,38.01,41.39,41.19,37.46,44.78,38.21,35.11,39.5,28.15,27.18,25.76,21.54,22.63,20.67,19.27,24.32,20.41,24.72,21.55,20.86,17.19,16.71,14.14,18.04,17.43,14.15,14.7,15.62,17.75,19.9,13.78,14.07,14.41,15.28,13.86,12.78,12.6,14.91,13.15,10.65,12.35,11.72,11.47,11.73,8.96,10.58,9.63,9.5,10.75,10.17,9.29,7.73,6.45,9.13,6.51,8.1,5.89,5.08,4.12,3.25,4.74,3.21
"Dallas","TX","Dallas-Fort Worth","Dallas",8,4.25,2.4,2.22,2.8,4.07,1.17,2.89,2.51,2.69,1.46,2.56,3.95,4.15,3.02,2.5,3.07,2.99,2.56,3.95,5.96,2.23,2.9,3.47,3.82,2.85,3.86,4.38,3.5,3.88,2.74,2.97,4.26,3.98,4.75,6.86,2.7,2.02,1.25,2.58,2.09,3.11,4.14,2.44,1.66,2.43,1.7,2.08,2.26,2.84,1.74,12.97,2.74,4.11,3.74,2.61,3.91,1.84,2.17,6.36,4.93,3.96,2.37,3.17,4.59,4.47,5.08,4.5,2.75,5.26,5.23,5.44,4.48,7.36,8.52,6.21,4.52,5.2,4.03,3.99,3.64,5.12,5.53,8.25,6.16,10.19,9.42,9.12,6.28,8.9,10.68,10.34,7.61,10.63,18.26,12.74,14.65,12.32,17.73,10.28,11.11,12.93,16.71,12.03,14.9,10.24,13.23,12.33,11.94,10.78,14.69,18.64,18.79,17.66,18.62,18.94,20.79,18.21,24.29,23.51,24.27,26.13,22.75,21.17,23.86,20.75,26.15,25.94,23.85,29.57,29.35,24.68,23.55,31.06,31.81,28.92,23.99,26.55,28.92,24.9,21.9,23.54,28,25.42,19.75,28.88,23.32,20.4,17.56,18.2,17.09,15.85,13.06,16.84,17.48,17.12,19.26,18.39,14.25,16.72,12.9,15.4,15.27,13.69,10.93,13.25,16.77,12.64,11.41,13.64,11.71,11.8,10.64,10.21,8.61,11.99,10.06,10.06,9.38,10.38,6.31,9.44,8.54,6.96,6.52,8.24,3.38,2.54,1.72,2.46,2.83,3.61,5.26,4.67,2.63,2.03,5.49,3.7,2.53,1.47,3.35
"San Jose","CA","San Jose","Santa Clara",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.85,33.16,44.84,37.6,38.46,33.94,33.6,37.98,35.16,37.4,36.26,41.64,39.65,43.12,40.09,32.31,41.31,34.14,36.03,39.61,41.36,44.9,36.24,48.39,46.74,46.81,45.92,41.39,38.19,38.4,38.48,42.64,47.15,46.17,48.74,54.55,43.42,40.2,36.8,36.65,32.94,35.38,30.81,31.06,31.51,29.65,31.53,29.73,32.85,20.37,17.63,13.93,12.53,13.7,12.86,11.27,13.21,10.85,10.45,10.25,10.98,7.95,6.61,7.36,5.02,6.08,7.14,7.73,4.65,6.84,5.95,7.3,5.13,6.08,2.87,3.02,3.94,2.29,2.05,3.17,2.92,3.01,4.24,3.47,2.02,1.85,1.87,1.2,1.77,2.3,2.33,1.98,2.78,2.34,2.13,2.08,1.95,0.42,2.16,1.21,1.8,0.93,2.03
"Jacksonville","FL","Jacksonville","Duval",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.92,53.42,54.87,54.99,50.67,53.2,45.58,51.36,48.89,48.45,57.91,59.49,56.5,57.48,56.61,54.63,53.52,51.64,53.44,51.57,48.6,51.49,51.75,49.72,47.96,46.65,42.17,40.48,39.12,29.22,35.71,40.86,38.66,40.98,38.92,33.41,38.63,30.3,33.82,28.3,36.8,37.15,35.6,35.57,34.2,40.21,33.33,32.45,31.5,29.47,25.23,27.93,27.1,27.46,25.77,25.43,33.23,28.73,28.94,27.26,27.06,26.17,23.44,22.76,21.53,23.19,24.67,22.41,23.58,22.63,22.15,23.43,21.15,21.7,19.48,22.32,19.24
