"Date","RegionID","RegionName","State","Metro","County","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2017-08-31,6181,"New York","NY","New York","Queens",0,695600,0.00855444396114253,0.0346571471069463,0.154714475431607,0.083414718554012,0.0315028327359625,"2017-08","2017-Q3",695600,0,"2017-08"
2017-08-31,12447,"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",1,633600,0.00205598608255575,0.00747336619494355,0.0746268656716418,0.100400688536966,0.00933152705224871,"2017-08","2017-Q3",633600,0,"2017-08"
2017-08-31,17426,"Chicago","IL","Chicago","Cook",2,224700,0.00491949910554562,0.0107962213225371,0.0792507204610951,0.057255009883433,-0.0091766405048187,"2007-01","2007-Q1",247300,-0.0913869793772746,"2005-03"
2017-08-31,13271,"Philadelphia","PA","Philadelphia","Philadelphia",3,139900,0.00575125808770669,0.0174545454545455,0.0679389312977099,0.0464261147378315,0.0147034602365705,"2017-08","2017-Q3",139900,0,"2017-08"
2017-08-31,40326,"Phoenix","AZ","Phoenix","Maricopa",4,217100,0.00602409638554217,0.025992438563327,0.0937027707808564,0.118169509188909,-0.00784921424386165,"2006-07","2006-Q3",245700,-0.116402116402116,"2005-09"
2017-08-31,18959,"Las Vegas","NV","Las Vegas","Clark",5,223400,0.00903342366757001,0.0294930875576037,0.102121361618155,0.133674935830745,-0.0206374928969215,"2006-07","2006-Q3",298100,-0.250587051325059,"2004-06"
2017-08-31,54296,"San Diego","CA","San Diego","San Diego",6,586000,0.00497341793860401,0.0241174414540371,0.0797862539156071,0.085287889620755,0.0172045080437679,"2017-08","2017-Q3",586000,0,"2017-08"
2017-08-31,38128,"Dallas","TX","Dallas-Fort Worth","Dallas",7,168400,0.00477326968973747,0.0181378476420798,0.0794871794871795,0.116412194081974,0.0324191866206287,"2017-08","2017-Q3",168400,0,"2017-08"
2017-08-31,33839,"San Jose","CA","San Jose","Santa Clara",8,902000,0.00680879562451166,0.0192090395480226,0.0845256703138151,0.110620265073269,0.0281421318580244,"2017-08","2017-Q3",902000,0,"2017-08"
2017-08-31,25290,"Jacksonville","FL","Jacksonville","Duval",9,154700,0.00454545454545455,0.0177631578947368,0.109756097560976,0.0938220497366664,-0.0110037211249517,"2006-11","2006-Q4",177900,-0.130410342889264,"2005-09"
2017-08-31,20330,"San Francisco","CA","San Francisco","San Francisco",10,1234800,0.00693141971785044,0.0256665836032893,0.106848332735748,0.116848546991142,0.0408373345002344,"2017-08","2017-Q3",1234800,0,"2017-08"
2017-08-31,10221,"Austin","TX","Austin","Travis",11,325700,0.00462677359654534,0.0118049083566325,0.0817004317502491,0.0927839165383027,0.0448144506274848,"2017-08","2017-Q3",325700,0,"2017-08"
2017-08-31,17762,"Detroit","MI","Detroit","Wayne",12,45600,0.0316742081447964,0.0857142857142857,0.266666666666667,0.0561535753509255,-0.0475194987936932,"2006-01","2006-Q1",78700,-0.420584498094028,
2017-08-31,10920,"Columbus","OH","Columbus","Franklin",13,130400,0.00384911470361817,0.0155763239875389,0.0821576763485477,0.062062453181456,0.00893622379904957,"2017-08","2017-Q3",130400,0,"2017-08"
2017-08-31,32811,"Memphis","TN","Memphis","Shelby",14,82600,0.00609013398294762,0.015990159901599,0.0713359273670558,0.044001598506864,-0.00608658325656086,"2007-03","2007-Q1",89800,-0.0801781737193764,"2005-02"
2017-08-31,24043,"Charlotte","NC","Charlotte","Mecklenburg",15,188900,0.0080042689434365,0.0277475516866159,0.0906466512702079,0.0704503730230828,0.0164258277939873,"2017-08","2017-Q3",188900,0,"2017-08"
2017-08-31,17933,"El Paso","TX","El Paso","El Paso",16,114100,0,0.0052863436123348,0.0115248226950355,-0.00243608254189065,-0.00740204489444507,"2007-12","2007-Q4",123800,-0.0783521809369952,"2006-11"
2017-08-31,44269,"Boston","MA","Boston","Suffolk",17,563300,0.00427883758245677,0.0156869816083664,0.104293275828269,0.0970456566558653,0.0463709463007855,"2017-08","2017-Q3",563300,0,"2017-08"
2017-08-31,16037,"Seattle","WA","Seattle","King",18,690200,0.00378126817917394,0.0290741016848069,0.14252607184241,0.130188868643925,0.0395936817988327,"2017-08","2017-Q3",690200,0,"2017-08"
2017-08-31,3523,"Baltimore","MD","Baltimore","Baltimore City",19,123700,0.00732899022801303,0.0164338537387017,0.0412457912457912,0.0409690982447706,,"2010-08","2010-Q3",126000,-0.0182539682539683,
2017-08-31,11093,"Denver","CO","Denver","Denver",20,386700,0.00311284046692607,0.0115092859011248,0.0868465430016863,0.113997078980445,0.055320224790429,"2017-08","2017-Q3",386700,0,"2017-08"
2017-08-31,41568,"Washington","DC","Washington","District of Columbia",21,544500,0.000183688464364438,-0.00420629114850037,0.0441035474592522,0.076466335909126,0.0319935955993482,"2017-03","2017-Q1",556400,-0.0213874910136592,"2017-01"
2017-08-31,6118,"Nashville","TN","Nashville","Davidson",22,234500,0.0055746140651801,0.0249125874125874,0.1323032351521,0.102749303632304,0.040870418795109,"2017-08","2017-Q3",234500,0,"2017-08"
2017-08-31,5976,"Milwaukee","WI","Milwaukee","Milwaukee",23,108800,0.00461680517082179,0.012093023255814,0.0825870646766169,0.0471840786061832,-0.0205442236519106,"2006-04","2006-Q2",136600,-0.203513909224012,"2004-02"
2017-08-31,7481,"Tucson","AZ","Tucson","Pima",24,166600,0.00421940928270042,0.0096969696969697,0.0832249674902471,0.060158801761345,-0.0176632905984797,"2006-06","2006-Q2",209900,-0.206288708909004,"2005-04"
