"Date","RegionName","State","Metro","County","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2017-08-31,"New York","NY","New York","Queens",0,2351,0.00341442594963722,0.00901287553648069,0.008147512864494,1561505
2017-08-31,"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",1,2814,0.00392436674991081,0.0136887608069164,0.0372281607077036,732998
2017-08-31,"Chicago","IL","Chicago","Cook",2,1662,0.00483675937122128,0.0171358629130967,-0.00776119402985075,761697
2017-08-31,"Houston","TX","Houston","Harris",3,1419,0.00424628450106157,0.00638297872340425,-0.0132127955493741,527527
2017-08-31,"Philadelphia","PA","Philadelphia","Philadelphia",4,1212,0.0033112582781457,0.00248138957816377,-0.00899427636958299,514715
2017-08-31,"Phoenix","AZ","Phoenix","Maricopa",5,1283,0.0054858934169279,0.0190627482128674,0.0380258899676375,446052
2017-08-31,"Las Vegas","NV","Las Vegas","Clark",6,1255,0.00641539695268645,0.0112812248186946,0.0236541598694943,464546
2017-08-31,"San Antonio","TX","San Antonio","Bexar",7,1267,0.00475812846946868,0.00875796178343949,0.0259109311740891,438493
2017-08-31,"San Diego","CA","San Diego","San Diego",8,2553,0.00551398188263096,0.0207916833266693,0.0484599589322382,363102
2017-08-31,"Dallas","TX","Dallas-Fort Worth","Dallas",9,1428,0.00492610837438424,0.0170940170940171,0.0484581497797357,293299
2017-08-31,"San Jose","CA","San Jose","Santa Clara",10,3351,0.00149432157800359,0.00781954887218045,-0.00681683461766449,228343
2017-08-31,"Jacksonville","FL","Jacksonville","Duval",11,1169,0.00429553264604811,0.0112456747404844,0.0236427320490368,282443
2017-08-31,"San Francisco","CA","San Francisco","San Francisco",12,4300,0.00139729855612483,0.00279850746268657,-0.0418894830659537,186640
2017-08-31,"Indianapolis","IN","Indianapolis","Marion",13,1087,0.00648148148148148,0.0235404896421846,0.00741427247451344,276417
2017-08-31,"Austin","TX","Austin","Travis",14,1784,-0.00111982082866741,0,-0.00998890122086571,232440
2017-08-31,"Fort Worth","TX","Dallas-Fort Worth","Tarrant",15,1397,0.00431344356578001,0.00866425992779783,0.0348148148148148,227252
2017-08-31,"Detroit","MI","Detroit","Wayne",16,746,-0.00133868808567604,-0.00400534045393859,0,314174
2017-08-31,"Columbus","OH","Columbus","Franklin",17,1145,0.00792253521126761,0.0168738898756661,0.0223214285714286,259618
2017-08-31,"Memphis","TN","Memphis","Shelby",18,840,0,-0.00118906064209275,-0.00826446280991736,209413
2017-08-31,"Charlotte","NC","Charlotte","Mecklenburg",19,1327,0.00454201362604088,0.0137509549274255,0.0326848249027237,279283
2017-08-31,"El Paso","TX","El Paso","El Paso",20,993,0.00100806451612903,0.00404448938321537,-0.00997008973080758,174293
2017-08-31,"Boston","MA","Boston","Suffolk",21,2546,-0.0027418723070897,-0.0108780108780109,0.020850040096231,183080
2017-08-31,"Seattle","WA","Seattle","King",22,2573,0.005078125,0.0173981810992487,0.0404367165386171,213825
2017-08-31,"Baltimore","MD","Baltimore","Baltimore City",23,1285,-0.000777604976671851,-0.00464756003098373,-0.0294561933534743,222869
2017-08-31,"Denver","CO","Denver","Denver",24,2006,0.004004004004004,0.0110887096774194,0.0156962025316456,208869
2017-08-31,"Washington","DC","Washington","District of Columbia",25,2654,-0.000753012048192771,0.00721062618595825,0.0391542678151919,178673
2017-08-31,"Nashville","TN","Nashville","Davidson",26,1553,0.00193548387096774,0.00582901554404145,0.0210387902695595,199669
2017-08-31,"Milwaukee","WI","Milwaukee","Milwaukee",27,991,-0.00601805416248746,-0.015888778550149,-0.0188118811881188,157339
2017-08-31,"Tucson","AZ","Tucson","Pima",28,1118,0.0108499095840868,0.0351851851851852,0.0698564593301435,179690
2017-08-31,"Portland","OR","Portland","Multnomah",29,1913,0.00262054507337526,0.0170122275385433,0.047645125958379,207327
2017-08-31,"Oklahoma City","OK","Oklahoma City","Oklahoma",30,1072,-0.000931966449207828,0.00374531835205993,-0.020109689213894,196408
2017-08-31,"Omaha","NE","Omaha","Douglas",31,1324,0.00379075056861259,0.0130068859984698,0.0255615801704105,323813
2017-08-31,"Albuquerque","NM","Albuquerque","Bernalillo",32,1194,-0.000836820083682008,-0.005,-0.00912863070539419,177189
2017-08-31,"Fresno","CA","Fresno","Fresno",33,1256,0.0048,0.00964630225080386,0.0320460147904684,132696
2017-08-31,"Mesa","AZ","Phoenix","Maricopa",34,1296,0.00387296669248644,0.00856031128404669,0.0228887134964483,148847
2017-08-31,"Long Beach","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",35,2440,0.00287710645293876,0.0107705053852527,0.0458636948135448,105002
2017-08-31,"Kansas City","MO","Kansas City","Jackson",36,1046,0.00576923076923077,0.0204878048780488,0.0356435643564356,165584
2017-08-31,"Virginia Beach","VA","Virginia Beach","Virginia Beach City",37,1537,-0.00129954515919428,-0.00453367875647668,0.00654878847413229,156604
2017-08-31,"Colorado Springs","CO","Colorado Springs","El Paso",38,1449,0.00485436893203883,0.0118715083798883,0.0592105263157895,144910
2017-08-31,"Atlanta","GA","Atlanta","Fulton",39,1526,0.00726072607260726,0.0207357859531773,0.0516884906960717,148200
2017-08-31,"Miami","FL","Miami-Fort Lauderdale","Miami-Dade",40,2017,-0.00493339911198816,-0.0112745098039216,-0.0605496040987424,144203
2017-08-31,"Oakland","CA","San Francisco","Alameda",41,2955,0.00544402858115005,0.014070006863418,0.02711157455683,103935
2017-08-31,"Tulsa","OK","Tulsa","Tulsa",42,960,0.00104275286757039,0.00208768267223382,-0.026369168356998,141306
2017-08-31,"Cleveland","OH","Cleveland","Cuyahoga",43,840,0.00119189511323004,0.00119189511323004,0.00598802395209581,121584
2017-08-31,"Honolulu","HI","Urban Honolulu","Honolulu",44,2392,-0.00208594075928244,-0.0070568700705687,-0.0188679245283019,127657
2017-08-31,"Minneapolis","MN","Minneapolis-St Paul","Hennepin",45,1592,0.00125786163522013,0.00505050505050505,0.0432503276539974,121688
2017-08-31,"Baton Rouge","LA","Baton Rouge","East Baton Rouge",46,1347,-0.00148257968865827,-0.00148257968865827,0.0606299212598425,131573
2017-08-31,"New Orleans","LA","New Orleans","Orleans",47,1424,-0.0104239054899236,-0.00280112044817927,-0.0138504155124654,112690
2017-08-31,"Arlington","TX","Dallas-Fort Worth","Tarrant",48,1481,0.00885558583106267,0.0185694635488308,0.0378416257883672,96828
2017-08-31,"Raleigh","NC","Raleigh","Wake",49,1407,0.00142348754448399,0.00643776824034335,0.0277574872169467,140757
2017-08-31,"Wichita","KS","Wichita","Sedgwick",50,905,0,-0.00876232201533406,0.00221483942414175,132515
2017-08-31,"Tampa","FL","Tampa","Hillsborough",51,1339,0.00299625468164794,0.00374812593703148,0.0244835501147666,124863
2017-08-31,"Anaheim","CA","Los Angeles-Long Beach-Anaheim","Orange",52,2701,0.00185459940652819,0.0127484064491938,0.0473051570376115,63907
2017-08-31,"Santa Ana","CA","Los Angeles-Long Beach-Anaheim","Orange",53,2549,0.0027537372147915,0.0119094878920206,0.0353371242891958,49349
