"Date","RegionName","State","Metro","County","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2017-08-31,"New York","NY","New York","Queens",0,2324,0.00432152117545376,0.00999565406345067,0.0233377366798767,386280
2017-08-31,"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",1,2979,0.00269269606193201,0.00880460548594649,0.0379790940766551,483019
2017-08-31,"Chicago","IL","Chicago","Cook",2,1602,0.00125,0.016497461928934,0.0216836734693878,316202
2017-08-31,"Houston","TX","Houston","Harris",3,1449,0.00138217000691085,0,-0.0142857142857143,442053
2017-08-31,"Philadelphia","PA","Philadelphia","Philadelphia",4,1401,0.0043010752688172,0.0130151843817787,-0.010593220338983,122891
2017-08-31,"Phoenix","AZ","Phoenix","Maricopa",5,1320,0.00533130236100533,0.0169491525423729,0.0352941176470588,365341
2017-08-31,"Las Vegas","NV","Las Vegas","Clark",6,1307,0.00615858352578907,0.0100463678516229,0.0218921032056294,348665
2017-08-31,"San Antonio","TX","San Antonio","Bexar",7,1274,0.0031496062992126,0.0119142176330421,0.0282485875706215,421397
2017-08-31,"San Diego","CA","San Diego","San Diego",8,2750,0.00401606425702811,0.0200296735905045,0.0472201066260472,221923
2017-08-31,"Dallas","TX","Dallas-Fort Worth","Dallas",9,1432,0.00561797752808989,0.0184921763869132,0.056047197640118,231877
2017-08-31,"San Jose","CA","San Jose","Santa Clara",10,3445,-0.000290191526407429,0.00320326150262085,-0.00605885747259088,172991
2017-08-31,"Jacksonville","FL","Jacksonville","Duval",11,1197,0.00167364016736402,0.00167364016736402,0.0178571428571429,250200
2017-08-31,"San Francisco","CA","San Francisco","San Francisco",12,4197,0.00119274809160305,0.00119274809160305,-0.0485150759464974,101669
2017-08-31,"Indianapolis","IN","Indianapolis","Marion",13,1108,0.00727272727272727,0.0146520146520147,0.00271493212669683,240369
2017-08-31,"Austin","TX","Austin","Travis",14,1882,-0.00264970853206147,-0.00423280423280423,-0.0146596858638743,178190
2017-08-31,"Fort Worth","TX","Dallas-Fort Worth","Tarrant",15,1406,0.00644237652111668,0.00860832137733142,0.0323054331864905,214332
2017-08-31,"Detroit","MI","Detroit","Wayne",16,746,-0.00133868808567604,-0.00400534045393859,0,303911
2017-08-31,"Columbus","OH","Columbus","Franklin",17,1199,0.00334728033472803,0.00502933780385583,0.0204255319148936,182761
2017-08-31,"Memphis","TN","Memphis","Shelby",18,828,-0.00120627261761158,-0.00600240096038415,-0.0177935943060498,181056
2017-08-31,"Charlotte","NC","Charlotte","Mecklenburg",19,1356,0.00444444444444444,0.00967982129560685,0.0319634703196347,223085
2017-08-31,"El Paso","TX","El Paso","El Paso",20,1002,0.003003003003003,0.00501504513540622,-0.00988142292490119,162940
2017-08-31,"Boston","MA","Boston","Suffolk",21,2586,-0.00538461538461538,-0.0219364599092284,0.0141176470588235,35655
2017-08-31,"Seattle","WA","Seattle","King",22,2759,0.00730193501277839,0.0271779597915115,0.0438895194854332,140497
2017-08-31,"Baltimore","MD","Baltimore","Baltimore City",23,1286,-0.0015527950310559,-0.00541376643464811,-0.0279667422524565,198551
2017-08-31,"Denver","CO","Denver","Denver",24,2124,0.00425531914893617,0.0128755364806867,0.0177287973167226,140403
2017-08-31,"Washington","DC","Washington","District of Columbia",25,2750,-0.00217706821480406,0.00622027076472741,0.0480182926829268,52545
2017-08-31,"Nashville","TN","Nashville","Davidson",26,1589,0.00252365930599369,0.0133928571428571,0.0304798962386511,150688
2017-08-31,"Milwaukee","WI","Milwaukee","Milwaukee",27,1109,-0.00893655049151028,-0.0133451957295374,-0.0177147918511957,97031
2017-08-31,"Tucson","AZ","Tucson","Pima",28,1129,0.00355555555555556,0.0207956600361664,0.0453703703703704,140319
2017-08-31,"Portland","OR","Portland","Multnomah",29,1974,0.00406917599186165,0.0143884892086331,0.0373095112979506,163565
2017-08-31,"Oklahoma City","OK","Oklahoma City","Oklahoma",30,1087,-0.00366636113657195,-0.00639853747714808,-0.0259856630824373,189569
2017-08-31,"Omaha","NE","Omaha","Douglas",31,1330,0.00226073850791258,0.0114068441064639,0.0238645111624326,310639
2017-08-31,"Albuquerque","NM","Albuquerque","Bernalillo",32,1198,0,-0.00415627597672485,-0.0115511551155116,171136
2017-08-31,"Fresno","CA","Fresno","Fresno",33,1282,0.00470219435736677,0.0110410094637224,0.0347054075867635,118978
2017-08-31,"Sacramento","CA","Sacramento","Sacramento",34,1609,0.012586532410321,0.0347266881028939,0.0691029900332226,122955
2017-08-31,"Mesa","AZ","Phoenix","Maricopa",35,1344,0.00373412994772218,0.00976709241172051,0.0220532319391635,119108
2017-08-31,"Long Beach","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",36,2568,0.00273330730183522,0.00943396226415094,0.0413625304136253,62346
2017-08-31,"Kansas City","MO","Kansas City","Jackson",37,1051,0.00863723608445298,0.021379980563654,0.0447316103379722,145023
2017-08-31,"Virginia Beach","VA","Virginia Beach","Virginia Beach City",38,1669,0.00481637567730283,0.00967937084089534,0.0152068126520681,102455
2017-08-31,"Colorado Springs","CO","Colorado Springs","El Paso",39,1479,0.00749318801089918,0.0228215767634855,0.067870036101083,131260
2017-08-31,"Atlanta","GA","Atlanta","Fulton",40,1364,0.00962250185048113,0.0302114803625378,0.0765588003157064,94826
2017-08-31,"Miami","FL","Miami-Fort Lauderdale","Miami-Dade",41,2081,-0.00239693192713327,-0.00191846522781775,-0.03701989819528,43219
2017-08-31,"Oakland","CA","San Francisco","Alameda",42,3091,0.00749674054758801,0.0231711353856339,0.0177807046427395,70531
2017-08-31,"Tulsa","OK","Tulsa","Tulsa",43,981,0,0,-0.0238805970149254,129997
2017-08-31,"Cleveland","OH","Cleveland","Cuyahoga",44,859,0.00467836257309942,0.0105882352941176,0.0117785630153121,87916
2017-08-31,"Honolulu","HI","Urban Honolulu","Honolulu",45,2788,0,0.00323857502698813,-0.0386206896551724,51481
2017-08-31,"Minneapolis","MN","Minneapolis-St Paul","Hennepin",46,1651,0.00303766707168894,0.00548112058465286,0.0637886597938144,79237
2017-08-31,"Baton Rouge","LA","Baton Rouge","East Baton Rouge",47,1376,0.00145560407569141,0.0110213078618663,0.0674941815360745,120895
2017-08-31,"New Orleans","LA","New Orleans","Orleans",48,1392,-0.00995732574679943,0,-0.00925266903914591,83100
2017-08-31,"Arlington","TX","Dallas-Fort Worth","Tarrant",49,1516,0.00730897009966777,0.0215633423180593,0.0484094052558783,89529
2017-08-31,"Raleigh","NC","Raleigh","Wake",50,1435,-0.000696378830083565,0.00279524807826695,0.0353535353535354,123859
2017-08-31,"Wichita","KS","Wichita","Sedgwick",51,948,0.00105596620908131,-0.00315457413249211,0.0193548387096774,121985
2017-08-31,"Tampa","FL","Tampa","Hillsborough",52,1354,0.00519673348181143,0.00445103857566766,0.0288753799392097,91247
2017-08-31,"Anaheim","CA","Los Angeles-Long Beach-Anaheim","Orange",53,2753,0.00254916241806264,0.0106461086637298,0.0373021853805576,49002
2017-08-31,"Santa Ana","CA","Los Angeles-Long Beach-Anaheim","Orange",54,2626,0.00114372855508959,0.00806142034548944,0.0491410307630843,34659
2017-08-31,"Aurora","CO","Denver","Arapahoe",55,1868,0.00646551724137931,0.0157694399129962,-0.00479488545551412,72570
2017-08-31,"Saint Louis","MO","St. Louis","Saint Louis City",56,930,0.00649350649350649,0.0163934426229508,0.00431965442764579,75347
2017-08-31,"Corpus Christi","TX","Corpus Christi","Nueces",57,1348,0.00148588410104012,0.00297619047619048,-0.0102790014684288,82599
2017-08-31,"Cincinnati","OH","Cincinnati","Hamilton",58,1137,0.00264550264550265,0.0151785714285714,0.0374087591240876,68948
2017-08-31,"Pittsburgh","PA","Pittsburgh","Allegheny",59,1113,0,0.0136612021857923,-0.00713648528099911,84123
2017-08-31,"Riverside","CA","Riverside","Riverside",60,1864,0.00593631948192121,0.0113944655453066,0.0531073446327684,61506
2017-08-31,"Marietta","GA","Atlanta","Cobb",61,1714,0.00468933177022274,0.0202380952380952,0.0257330939557151,88109
2017-08-31,"Anchorage","AK","Anchorage","Anchorage",62,2008,0.00149625935162095,0,-0.0387745332695069,59270
2017-08-31,"Bakersfield","CA","Bakersfield","Kern",63,1377,-0.00289645184648805,-0.00649350649350649,0.000726744186046512,90997
2017-08-31,"Saint Paul","MN","Minneapolis-St Paul","Ramsey",64,1434,0,-0.00139275766016713,0.0286944045911047,58943
2017-08-31,"Toledo","OH","Toledo","Lucas",65,794,-0.00251256281407035,-0.0050125313283208,-0.00625782227784731,89211
2017-08-31,"Silver Spring","MD","Washington","Montgomery",66,2385,0.000419463087248322,0.010593220338983,0.0227272727272727,52317
2017-08-31,"Lexington","KY","Lexington","Fayette",67,1234,-0.000809716599190283,-0.00161812297734628,0.00243704305442729,93020
2017-08-31,"Newark","NJ","New York","Essex",68,1466,0.0047978067169294,0.0027359781121751,-0.0239680426098535,32219
2017-08-31,"Tallahassee","FL","Tallahassee","Leon",69,1294,0.00310077519379845,0.0093603744149766,-0.00384911470361817,63712
2017-08-31,"Stockton","CA","Stockton","San Joaquin",70,1459,0.00899031811894882,0.0209937018894332,0.0712187958883994,66719
2017-08-31,"Plano","TX","Dallas-Fort Worth","Collin",71,2050,0.00293542074363992,0.0143493320138545,0.0286001003512293,69229
2017-08-31,"Buffalo","NY","Buffalo","Erie",72,960,-0.0113285272914521,-0.0303030303030303,0.0457516339869281,38741
2017-08-31,"Chandler","AZ","Phoenix","Maricopa",73,1534,0,-0.000651465798045603,0.0219853431045969,81058
2017-08-31,"Louisville","KY","Louisville/Jefferson County","Jefferson",74,1009,0.01001001001001,0.0161127895266868,0.0872844827586207,115845
2017-08-31,"Henderson","NV","Las Vegas","Clark",75,1475,0.00613915416098227,0.013745704467354,0.0243055555555556,88771
2017-08-31,"Modesto","CA","Modesto","Stanislaus",76,1378,0.00952380952380952,0.0207407407407407,0.0392156862745098,64021
2017-08-31,"Mobile","AL","Mobile","Mobile",77,953,0.00105042016806723,0.00315789473684211,0.0336225596529284,83257
2017-08-31,"Jersey City","NJ","New York","Hudson",78,1928,0.00312174817898023,-0.00464636035105834,-0.0819047619047619,28396
2017-08-31,"Lubbock","TX","Lubbock","Lubbock",79,1184,0.00169204737732657,0.00084530853761623,0,72512
2017-08-31,"Glendale","AZ","Phoenix","Maricopa",80,1311,0.0053680981595092,0.0147058823529412,0.0306603773584906,59823
2017-08-31,"Durham","NC","Durham","Durham",81,1361,0,0.00368731563421829,0.0225394440270473,68858
2017-08-31,"Orlando","FL","Orlando","Orange",82,1488,0.00540540540540541,0.0156996587030717,0.0262068965517241,47941
2017-08-31,"Norfolk","VA","Virginia Beach","Norfolk City",83,1286,0.0031201248049922,0.011801730920535,0.0133963750985028,50447
2017-08-31,"Saint Petersburg","FL","Tampa","Pinellas",84,1344,0.0014903129657228,-0.00518134715025907,0.012810851544838,78100
2017-08-31,"Pensacola","FL","Pensacola","Escambia",85,978,0.00513874614594039,0.0198123044838373,0.00410677618069815,84705
2017-08-31,"Fort Wayne","IN","Fort Wayne","Allen",86,1017,0.017,0.0626959247648903,0.0560747663551402,87309
2017-08-31,"Greensboro","NC",,"Guilford",87,1057,0.0105162523900574,0.0143953934740883,0.0292112950340798,91875
2017-08-31,"Lincoln","NE","Lincoln","Lancaster",88,1294,0.0125195618153365,0.0294351630867144,0.0149019607843137,68788
2017-08-31,"San Bernardino","CA","Riverside","San Bernardino",89,1506,0.00735785953177258,0.0148247978436658,0.0583274771609276,45017
2017-08-31,"Corona","CA","Riverside","Riverside",90,2276,0.00574458683163942,0.0165252344796784,0.0473999079613438,41392
2017-08-31,"Chula Vista","CA","San Diego","San Diego",91,2586,0.00661736084079408,0.0253766851704996,0.0440048445700444,42272
2017-08-31,"Chesapeake","VA","Virginia Beach","Chesapeake City",92,1672,0.000598444045481747,0.00119760479041916,0.00360144057623049,61658
2017-08-31,"Hialeah","FL","Miami-Fort Lauderdale","Miami-Dade",93,2079,0.000481231953801732,0.0058055152394775,0.000481231953801732,26640
2017-08-31,"Madison","WI","Madison","Dane",94,1660,0.00362756952841596,0.0184049079754601,0.0381488430268918,54416
