"RegionType","RegionName","City","State","Metro","CBSATitle","SizeRank","MarketHealthIndex","SellForGain","PrevForeclosed","ForeclosureRatio","ZHVI","MoM","YoY","ForecastYoYPctChange","StockOfREOs","NegativeEquity","Delinquency","DaysOnMarket"
"City","New York","New York","NY","New York, NY","""New York-Newark-Jersey City, NY-NJ-PA""",0,9.81089743589744,95.73,1.0234,0.0254,695600,0.855444396114252,15.4714475431607,0.056742380678551,,0.0678875261579414,0.0998940630363634,153
"City","Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim, CA","""Los Angeles-Long Beach-Anaheim, CA""",1,7.20512820512821,96.37,3.4373,1.0175,633600,0.205598608255575,7.46268656716418,0.0173121843434343,,0.0544724139530104,0.0313035630060524,61
"City","Chicago","Chicago","IL","Chicago, IL","""Chicago-Naperville-Elgin, IL-IN-WI""",2,3.45940170940171,81.92,,,224700,0.491949910554562,7.92507204610951,0.0345215843346685,,0.228913937602891,0.040972971703156,84
"City","Philadelphia","Philadelphia","PA","Philadelphia, PA","""Philadelphia-Camden-Wilmington, PA-NJ-DE-MD""",3,2.5491452991453,87.6,7.2419,5.6924,139900,0.575125808770669,6.79389312977099,0.0307290922087204,,0.148186994559375,0.0748865063761205,85
"City","Phoenix","Phoenix","AZ","Phoenix, AZ","""Phoenix-Mesa-Scottsdale, AZ""",4,8.30769230769231,88.21,5.9816,0.4927,217100,0.602409638554217,9.37027707808564,0.033284200829111,,0.112508516965411,0.0206925031263307,62
"City","Las Vegas","Las Vegas","NV","Las Vegas, NV","""Las Vegas-Henderson-Paradise, NV""",5,5.42628205128205,81.94,6.9234,1.73,223400,0.903342366757001,10.2121361618155,0.056575649059982,,0.162197221929523,0.0644017863121628,57
"City","San Diego","San Diego","CA","San Diego, CA","""San Diego-Carlsbad, CA""",6,8.37393162393162,96.79,2.5879,0.7721,586000,0.497341793860401,7.97862539156071,0.0291143344709897,,0.0637254718315289,0.015708405336935,48
"City","Dallas","Dallas","TX","Dallas-Fort Worth, TX","""Dallas-Fort Worth-Arlington, TX""",7,9.64209401709402,96.65,2.2737,0.6355,168400,0.477326968973747,7.94871794871795,0.0409085510688836,,,,55
"City","San Jose","San Jose","CA","San Jose, CA","""San Jose-Sunnyvale-Santa Clara, CA""",8,9.50106837606838,97.97,2.2161,0.3768,902000,0.680879562451166,8.45256703138151,0.0303658536585365,,0.030384420274499,0.0110590876127439,40
"City","Jacksonville","Jacksonville","FL","Jacksonville, FL","""Jacksonville, FL""",9,4.21153846153846,80.76,,,154700,0.454545454545455,10.9756097560976,0.0395862960568842,,0.162267910008616,0.0613075037860584,74
"City","San Francisco","San Francisco","CA","San Francisco, CA","""San Francisco-Oakland-Hayward, CA""",10,9.89636752136752,98.6,1.0451,0.2208,1234800,0.693141971785044,10.6848332735748,0.0293229672821509,,0.0341619577705191,0.00825197892531821,42
"City","Austin","Austin","TX","Austin, TX","""Austin-Round Rock, TX""",11,7.18803418803419,100,,,325700,0.462677359654534,8.17004317502491,0.0314031317163033,,,,58
"City","Detroit","Detroit","MI","Detroit, MI","""Detroit-Warren-Dearborn, MI""",12,7.26495726495726,100,,,45600,3.16742081447964,26.6666666666667,0.0762280701754385,,0.361762843797311,0.0402413190935836,69
"City","Columbus","Columbus","OH","Columbus, OH","""Columbus, OH""",13,2.71901709401709,85.8,6.5502,6.7884,130400,0.384911470361817,8.21576763485477,0.0449003067484663,,0.116894165221145,0.0440141937762667,54
"City","Memphis","Memphis","TN","Memphis, TN","""Memphis, TN-MS-AR""",14,3.89209401709402,80.73,9.0741,4.19,82600,0.609013398294762,7.13359273670558,0.0565133171912833,,0.149323320834595,0.0621360609202862,68
"City","Charlotte","Charlotte","NC","Charlotte, NC","""Charlotte-Concord-Gastonia, NC-SC""",15,6.10790598290598,91.03,6.6284,2.0137,188900,0.80042689434365,9.06466512702078,0.0442456326098464,,0.103314848331934,0.0314026296538218,53
"City","Boston","Boston","MA","Boston, MA","""Boston-Cambridge-Newton, MA-NH""",17,7.93696581196581,97.69,,4.7159,563300,0.427883758245677,10.4293275828269,0.0358601100656843,,0.0937354731973093,0.0153140829349574,63
