"RegionName","State","Metro","CountyName","SizeRank","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08"
"New York","NY","New York","Queens",1,98.1,98.03,97.82,96.41,96.88,93.77,96.69,98.57,97.95,97.16,97.81,97.92,97.67,97.14,97.98,97.37,96.99,98.04,96.72,96.43,98.25,98.35,97.29,98.91,97.86,94.07,98.19,97.69,97.75,98.31,97.49,97.9,98.64,96.21,99.36,98.49,98.66,97.59,97.96,98.55,98.36,98.09,98.32,98.21,98.11,98.57,98.63,97.23,98.07,98.39,97.8,97.55,98.1,96.52,97.62,98.61,97.64,97.74,97.05,98.08,97.85,97.58,97.4,97.65,98.09,98,97.52,97.33,97.22,97.45,97.37,97.43,95.87,96.68,96.89,96.4,96.63,96.44,96.88,96.59,97.09,96.33,95.1,94.71,94.49,94.52,93.51,92.67,93.57,94.31,93.51,92.47,93.82,92.62,92.75,89.3,90.19,86.54,86.59,84.9,86.03,83.83,79.97,82.79,83.25,84.23,84.04,85.36,84.48,80.84,81.65,82.31,82.97,85.19,84.7,81.75,83.14,83.44,85.68,86.87,79.5,83.42,83.03,83.29,79.72,84.73,84.69,82.09,83.98,79.71,82.55,80.83,80.86,78.59,81.32,79.11,82.43,82.18,82.19,83.1,83.28,83.05,83.32,83.67,83.21,79.1,82.49,82.02,87.32,86.04,86.54,87.08,87.16,87.64,87.52,87.89,88.83,87.47,89.32,88.07,89.33,86.67,91.57,88.37,90.82,89.2,90.04,90.8,89.82,89.63,88.94,90.01,89.91,91.46,93.38,91.9,92.34,92.43,92.33,92.78,92.02,92.72,91.93,92.48,90.71,91.86,94.34,94.9,94.3,94.18,92.12,94.46,95.71,95.43,92.35,91.03,92.25,94.92,95.4,95.73
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.35,70.63,71.03,72.27,71.36,74.07,71.99,73.04,75.95,78.26,78.43,81.56,80.83,84.81,85.71,86.34,86.5,87.14,84.89,84.96,87.38,87.64,88.24,89.48,89.39,90.31,89.6,90.68,91.59,90.53,91.59,91.16,91.3,89.39,92.54,91.15,92.88,93.89,93.51,93.14,92.9,92.8,94.96,93.7,93.63,93.03,93.29,94.21,96.19,94.06,95.28,95.26,94.9,94.68,95.28,94.71,93.78,94.62,96.04,95.06,97.19,96.61,96.5,96.37
"Chicago","IL","Chicago","Cook",3,97.42,97.82,97.98,94.51,98.24,97.15,97.18,97.52,97.98,97.25,97.69,98.42,96.53,97.25,96.02,96.41,96.74,97.61,97.9,98.02,98,97.56,96.99,97.45,96.86,95.35,97,96,96.07,98.21,97.06,95.46,97.09,96.57,95.53,96.37,96.79,95.7,96.52,96.8,96.38,96.86,96.14,96.71,96.76,96.59,96.39,96.31,96.51,95.96,95.63,96.19,96.28,95.73,95.99,96.22,95.84,96.25,95.51,94.46,95.32,95.18,95.29,95.82,96.12,94.93,94.06,95.77,95.21,93.44,94.11,92.27,93.57,93.3,93.72,92.2,93.46,93.59,93.36,93.3,92.11,90.6,90.1,87.97,89.09,82.07,85.12,84.79,83.95,84.26,85.88,84.5,85.39,79.9,77.8,75.26,68.86,65.17,64.67,64.68,66.83,67.14,68.51,65.77,66.97,67.94,61.85,61.87,58.46,51.24,54.72,57.76,57.64,57.72,59.04,53.32,56.97,50.38,54.14,51.74,50.08,47.13,48.93,49.05,44.98,50.93,50.88,50.19,48.51,51.27,48.48,47.67,45.27,47.57,42.32,40.87,43.74,41.18,44.29,43.74,48.29,46,48.63,48.76,43.75,43.01,40.64,48.94,51.18,52.88,58.29,58.62,56.96,59.35,61.99,61.93,62.27,59.14,61.93,60.35,64.97,68.12,68.22,69.72,71.1,68.98,70.15,70.12,69.61,69,66.84,72.05,70.73,75.08,74.03,76.18,75.29,76.74,72.74,74.36,73.37,72.58,76.59,76.91,75.84,76.32,76.4,78.63,77.33,78.46,78.77,78.53,77.83,73.5,78.38,80.63,80.9,83.67,82.38,81.92
"Philadelphia","PA","Philadelphia","Philadelphia",4,97.05,95.94,97.78,97.43,96.81,96.73,96.97,98.17,97.72,97.94,98.09,98.24,97.73,98.2,97.79,97.64,97.59,97.58,97.93,98.1,97.99,97.95,97.44,98.09,97.83,97.5,97.49,97.55,97.47,97.55,97.82,98,98.21,97.37,96.77,96.63,97.67,97.39,96.54,97.13,97.2,97.7,97.5,96.67,97.18,96.48,96.34,96.84,96.44,91.99,92.83,91.13,93.64,93.75,95.58,93.73,93.53,93.74,93.97,95.19,93.6,92.03,92.77,92.39,93.87,94.4,94.87,93.61,93.02,93.85,91.14,90.81,89.24,88.95,89.03,88.76,90.98,91.9,92.81,92.21,92.45,91.04,88.58,91.09,90.06,87.29,90.46,88.53,92.19,90.36,92.58,90.9,89.3,89.73,89.84,86.53,87.62,85.3,86.88,85.76,89,84.14,88.82,88.06,86.96,88.71,88.53,89.93,86.37,85.74,89.26,87.53,89.27,88.69,87.2,86.08,86.68,87.24,89.63,83.55,85.41,84.01,83.59,80.26,83.91,85.78,84.15,85.28,86.09,85.25,83.18,84.33,85.8,83.01,83.28,85.01,82.46,79.58,83.2,85.17,87.46,82.05,83.07,83.77,84.51,80.89,80.63,84.06,82.25,84.47,82.94,81.6,82.69,83.16,83.33,82.09,81.83,84.91,83.79,85.27,82.45,86.06,83.96,83.53,84.65,87.12,85.54,84.22,85.22,81.34,83.16,83.51,83.71,83.46,84.73,83.24,85.28,84.42,85.19,85.02,84.75,83.82,82.75,82.33,87.05,86.05,87.19,86.15,87.46,85.84,87.5,86.85,83.32,85.96,85.05,85.28,87.07,88.85,88.7,87.6
"Phoenix","AZ","Phoenix","Maricopa",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.73,48.16,54.43,53.97,55.48,62.99,63.07,58.4,68.59,62.8,75.79,67.9,69.37,74.3,70.4,75.19,76.35,77.74,76.74,78.36,75.45,76.05,83.22,81.27,81.81,81.37,84.03,79.69,83.37,80.94,84.85,79.63,84.94,80.61,82.51,81.98,74.41,83.55,76.19,82.68,83.78,86.55,87.38,84.89,84.19,85.18,83.8,85.76,86.54,89.61,86.5,87.21,87.84,87.66,86.99,90.03,88.21,86.97,89.02,88.05,88.68,89.25,87.38,89.35,88.21
"Las Vegas","NV","Las Vegas","Clark",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.93,66.98,64.91,68.87,71.65,70.5,73.33,71.4,72.23,77.34,73.29,70.65,83.38,76.65,74.25,75.07,75.19,77.52,77.98,76.88,79.35,74.08,80.52,80.9,75.39,76.51,79.54,77.02,78.96,77.31,80.08,78.81,74.39,77.29,79.79,77.04,78.1,78.52,75.98,78,78.3,79.02,77.98,80.18,80.12,81.91,81.94
"San Diego","CA","San Diego","San Diego",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.25,70.46,66.27,59.53,59.74,56.03,54.22,55.05,53.94,57.43,56.58,61.63,63.98,63.89,58.54,59.04,61.01,60.99,56.61,49.56,59.44,56.08,58.54,58.14,60.83,62.98,60.97,56.77,59.38,60.22,54.36,57.22,59.06,59.14,54.8,54.41,60.7,51.82,56.21,52.3,57.64,54.53,49.37,49.89,58.13,58.48,63.83,57.4,61.99,58.61,58.81,62.54,55.22,61.79,64.89,60.5,71.85,72.82,74.24,78.46,77.37,79.33,80.73,75.68,79.59,75.28,78.45,79.14,82.81,83.29,85.86,81.96,82.57,85.85,85.3,84.38,82.25,80.1,86.22,85.93,85.59,84.72,86.14,87.22,87.4,85.09,86.85,89.35,87.65,88.28,88.53,88.27,91.04,89.42,90.37,90.5,89.25,89.83,90.71,92.27,93.55,90.87,93.49,91.9,94.11,94.92,95.88,96.75,95.26,96.79
"Dallas","TX","Dallas-Fort Worth","Dallas",8,95.75,97.6,97.78,97.2,95.93,98.83,97.11,97.49,97.31,98.54,97.44,96.05,95.85,96.98,97.5,96.93,97.01,97.44,96.05,94.04,97.77,97.1,96.53,96.18,97.15,96.14,95.62,96.5,96.12,97.26,97.03,95.74,96.02,95.25,93.14,97.3,97.98,98.75,97.42,97.91,96.89,95.86,97.56,98.34,97.57,98.3,97.92,97.74,97.16,98.26,87.03,97.26,95.89,96.26,97.39,96.09,98.16,97.83,93.64,95.07,96.04,97.63,96.83,95.41,95.53,94.92,95.5,97.25,94.74,94.77,94.56,95.52,92.64,91.48,93.79,95.48,94.8,95.97,96.01,96.36,94.88,94.47,91.75,93.84,89.81,90.58,90.88,93.72,91.1,89.32,89.66,92.39,89.37,81.74,87.26,85.35,87.68,82.27,89.72,88.89,87.07,83.29,87.97,85.1,89.76,86.77,87.67,88.06,89.22,85.31,81.36,81.21,82.34,81.38,81.06,79.21,81.79,75.71,76.49,75.73,73.87,77.25,78.83,76.14,79.25,73.85,74.06,76.15,70.43,70.65,75.32,76.45,68.94,68.19,71.08,76.01,73.45,71.08,75.1,78.1,76.46,72,74.58,80.25,71.12,76.68,79.6,82.44,81.8,82.91,84.15,86.94,83.16,82.52,82.88,80.74,81.61,85.75,83.28,87.1,84.6,84.73,86.31,89.07,86.75,83.23,87.36,88.59,86.36,88.29,88.2,89.36,89.79,91.39,88.01,89.94,89.94,90.62,89.62,93.69,90.56,91.46,93.04,93.48,91.76,96.62,97.46,98.28,97.54,97.17,96.39,94.74,95.33,97.37,97.97,94.51,96.3,97.47,98.53,96.65
"San Jose","CA","San Jose","Santa Clara",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.15,66.84,55.16,62.4,61.54,66.06,66.4,62.02,64.84,62.6,63.74,58.36,60.35,56.88,59.91,67.69,58.69,65.86,63.97,60.39,58.64,55.1,63.76,51.61,53.26,53.19,54.08,58.61,61.81,61.6,61.52,57.36,52.85,53.83,51.26,45.45,56.58,59.8,63.2,63.35,67.06,64.62,69.19,68.94,68.49,70.35,68.47,70.27,67.15,79.63,82.37,86.07,87.47,86.3,87.14,88.73,86.79,89.15,89.55,89.75,89.02,92.05,93.39,92.64,94.98,93.92,92.86,92.27,95.35,93.16,94.05,92.7,94.87,93.92,97.13,96.98,96.06,97.71,97.95,96.83,97.08,96.99,95.76,96.53,97.98,98.15,98.13,98.8,98.23,97.7,97.67,98.02,97.22,97.66,97.87,97.92,98.05,99.58,97.84,98.79,98.2,99.07,97.97
"Jacksonville","FL","Jacksonville","Duval",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.08,46.58,45.13,45.01,49.33,46.8,54.42,48.64,51.11,51.55,42.09,40.51,43.5,42.52,43.39,45.37,46.48,48.36,46.56,48.43,51.4,48.51,48.25,50.28,52.04,53.35,57.83,59.52,60.88,70.78,64.29,59.14,61.34,59.02,61.08,66.59,61.37,69.7,66.18,71.7,63.2,62.85,64.4,64.43,65.8,59.79,66.67,67.55,68.5,70.53,74.77,72.07,72.9,72.54,74.23,74.57,66.77,71.27,71.06,72.74,72.94,73.83,76.56,77.24,78.47,76.81,75.33,77.59,76.42,77.37,77.85,76.57,78.85,78.3,80.52,77.68,80.76
