"Date","RegionName","State","Metro","County","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2017-08-31,"New York","NY","New York","Queens",0,2410,0.00166251039068994,0.00794646591384358,0.0264054514480409,712714
2017-08-31,"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",1,2911,0.00344708721130645,0.0107638888888889,0.0377896613190731,590425
2017-08-31,"Chicago","IL","Chicago","Cook",2,1688,0.00476190476190476,0.0150330727600722,-0.00236406619385343,586181
2017-08-31,"Houston","TX","Houston","Harris",3,1420,0.00495399858457183,0.00923951670220327,-0.00560224089635854,485720
2017-08-31,"Philadelphia","PA","Philadelphia","Philadelphia",4,1206,0.00249376558603491,-0.00165562913907285,-0.0106644790812141,477888
2017-08-31,"Phoenix","AZ","Phoenix","Maricopa",5,1288,0.00389711613406079,0.0181818181818182,0.0403877221324717,420653
2017-08-31,"Las Vegas","NV","Las Vegas","Clark",6,1264,0.00717131474103586,0.0136327185244587,0.0293159609120521,437875
2017-08-31,"San Antonio","TX","San Antonio","Bexar",7,1271,0.00394944707740916,0.0103338632750397,0.0274858528698464,414849
2017-08-31,"San Diego","CA","San Diego","San Diego",8,2587,0.00583203732503888,0.0241488519398258,0.0482171799027553,321667
2017-08-31,"Dallas","TX","Dallas-Fort Worth","Dallas",9,1425,0.00635593220338983,0.0185847033595425,0.0555555555555556,268357
2017-08-31,"San Jose","CA","San Jose","Santa Clara",10,3367,0.00148720999405116,0.00778210116731518,-0.00737028301886792,210950
2017-08-31,"Jacksonville","FL","Jacksonville","Duval",11,1183,0.000846023688663283,0.00595238095238095,0.0198275862068966,267594
2017-08-31,"San Francisco","CA","San Francisco","San Francisco",12,4219,0.001661918328585,0.00213776722090261,-0.0428765880217786,145529
2017-08-31,"Indianapolis","IN","Indianapolis","Marion",13,1107,0.00727934485896269,0.0146654445462878,0.00271739130434783,251979
2017-08-31,"Austin","TX","Austin","Travis",14,1847,-0.000541125541125541,-0.00162162162162162,-0.0107123727905731,200290
2017-08-31,"Fort Worth","TX","Dallas-Fort Worth","Tarrant",15,1409,0.00714796283059328,0.0100358422939068,0.0375552282768778,207309
2017-08-31,"Detroit","MI","Detroit","Wayne",16,746,-0.00133868808567604,-0.00267379679144385,0,324396
2017-08-31,"Columbus","OH","Columbus","Franklin",17,1172,0.00860585197934595,0.0182450043440487,0.0244755244755245,225801
2017-08-31,"Memphis","TN","Memphis","Shelby",18,846,-0.00118063754427391,-0.00353356890459364,0,194167
2017-08-31,"Charlotte","NC","Charlotte","Mecklenburg",19,1336,0.00225056264066016,0.0113550340651022,0.0356589147286822,260348
2017-08-31,"El Paso","TX","El Paso","El Paso",20,1006,0.00399201596806387,0.00700700700700701,-0.00396039603960396,160541
2017-08-31,"Boston","MA","Boston","Suffolk",21,2612,-0.00343380389164441,-0.0106060606060606,0.0151574038087835,90446
2017-08-31,"Seattle","WA","Seattle","King",22,2638,0.00648607401755055,0.0236709351959643,0.037765538945712,185016
