date,stock,unemployment,mortgage
1/1/1991,2736.389893,6.4,9.64
2/1/1991,2882.179932,6.6,9.37
3/1/1991,2913.860107,6.8,9.5
4/1/1991,2887.870117,6.7,9.5
5/1/1991,3027.5,6.9,9.47
6/1/1991,2906.75,6.9,9.62
7/1/1991,3024.820068,6.8,9.58
8/1/1991,3043.600098,6.9,9.24
9/1/1991,3016.77002,6.9,9.01
10/1/1991,3069.100098,7,8.86
11/1/1991,2894.679932,7,8.71
12/1/1991,3168.830078,7.3,8.5
1/1/1992,3223.399902,7.3,8.43
2/1/1992,3267.699951,7.4,8.76
3/1/1992,3235.5,7.4,8.94
4/1/1992,3359.100098,7.4,8.85
5/1/1992,3396.899902,7.6,8.67
6/1/1992,3318.5,7.8,8.51
7/1/1992,3393.800049,7.7,8.13
8/1/1992,3257.399902,7.6,7.98
9/1/1992,3271.699951,7.6,7.92
10/1/1992,3226.300049,7.3,8.09
11/1/1992,3305.199951,7.4,8.31
12/1/1992,3301.110107,7.4,8.21
1/1/1993,3310,7.3,7.99
2/1/1993,3370.810059,7.1,7.68
3/1/1993,3435.110107,7,7.5
4/1/1993,3427.550049,7.1,7.46
5/1/1993,3527.429932,7.1,7.47
6/1/1993,3516.080078,7,7.42
7/1/1993,3539.469971,6.9,7.21
8/1/1993,3651.25,6.8,7.11
9/1/1993,3555.120117,6.7,6.91
10/1/1993,3680.590088,6.8,6.83
11/1/1993,3683.949951,6.6,7.16
12/1/1993,3754.090088,6.5,7.17
1/1/1994,3978.360107,6.6,7.07
2/1/1994,3832.02002,6.6,7.15
3/1/1994,3635.959961,6.5,7.68
4/1/1994,3681.689941,6.4,8.32
5/1/1994,3758.370117,6.1,8.6
6/1/1994,3624.959961,6.1,8.4
7/1/1994,3764.5,6.1,8.61
8/1/1994,3913.419922,6,8.51
9/1/1994,3843.189941,5.9,8.64
10/1/1994,3908.120117,5.8,8.93
11/1/1994,3739.22998,5.6,9.17
12/1/1994,3834.439941,5.5,9.2
1/1/1995,3843.860107,5.6,9.15
