"RegionName","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08"
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650000,659000,650000,664000,649000,690000,699999,709950,7e+05,699975,719000,699999,712000,660000,675000,725000,749000,749945,780000,785000,775000,780000,787069,799000,795000,789000,799000,799000,799950,805000,8e+05,819000,829975,819950,824500,819900,825000,821995,819450,824900,850000,875000,882950,859000,869000,870479.5
"Chicago","IL","Chicago","Cook",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329900,342500,339000,329000,318000,304900,299250,284900,279250,279900,321950,369000,389950,399900,399900,398500,375000
"Houston","TX","Houston","Harris",3,189900,194900,199000,199900,198900,199000,194900,194900,210000,205000,204900,199000,196900,197700,199000,199900,199900,2e+05,199500,194500,187900,185000,179900,184900,181950,185000,194900,199900,199900,203245,202650,2e+05,199999,198000,206315,208750,215000,229900,235000,235000,239000,244639,244700,243000,244900,249950,250000,250000,260842.5,273990,269000,278990,284900,289000,295000,299900,306950,303475,307220,320000,336945,347500,350000,361950,359900,350726,349900,350000,350000,365000,366990,359992.5,375000,370000,379900,374245,370000,369000,365000,364900,359900,349500,349000,345000,345000,345000,349900,354110,350000,350000,349900,345000
"Philadelphia","PA","Philadelphia","Philadelphia",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189999,195000,190000,189900,198000,209000,210000,209000,199900,199900,199900,190000,188700,185000,185900,189900,199000,199900,197400,190800,185900,184900,178875,184949.5,179900,175000,179999.5,179000,179900,189999,189450,194000,189900,189450,190000,199900,198000,189000,189900,189000,199900,215000,219000,224900,209000,209900
"Phoenix","AZ","Phoenix","Maricopa",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285000,279500,274950,285000,299000,299000,295000,297500,289000,293245,289990,289950,299055.5,299700,299915.5,305500,320495,327995,329900,331250,327990,329850,330445,335000,343490,339990,345000,349900,349900,349250,344900,349000,349000,339947.5,339900,334900,335000,330000,340000,349000,349000,352990,349900,355000,349900,355000
"Las Vegas","NV","Las Vegas","Clark",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235000,238900,234900,234900,244100,246446,249900,250000,257990,259900,260000,264900,260000,264900,265000,269888,275000,281302.5,289900,285000,289000,289900,289900,289900,289900,289900,290000,289900,299000,299990,304900,3e+05,299998,304990,307000,305000,305000,305000,309900,310889,315000,319999,325000,330000,334970,339900
"San Antonio","TX","San Antonio","Bexar",7,189900,194225,196000,197509,199500,199500,199000,196700,199990,2e+05,198399.5,195000,191945,194500,194900,198000,199900,2e+05,2e+05,197700,188000,186059,181728,179900,184000,182450,185000,189900,194450,196000,192000,190495,194400,199500,210000,209500,212737,219997,225000,229900,229990,230000,229900,230000,236000,241175.5,239990,249900,250000,256200,256995,258321,259970,256725,254925,260000,259000,256500,254990,265000,268845,268599.5,256900,264922.5,265000,265990,265990,265000,267945,262945,261990,263478,268995,266990,269900,269900,269900,274900,274500,274900,274000,278900,274900,274500,275200,282985,285793,285000,289000,290951.5,289625,289990
"San Diego","CA","San Diego","San Diego",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,675000,675000,650000,674500,695000,725500,726000,739000,739000,729999,749000,739000,749000,739000,739000,737250,785000,8e+05,819000,785000,815000,824889,819750,799000,795000,815000,822000,849444,849894,839000,849900,849000,849000,839000,822950,799950,825000,844599,834000,849000,862000,889000,899000,919000,910000,899000
"Dallas","TX","Dallas-Fort Worth","Dallas",9,321000,329900,338422.5,340000,338887.5,329949.5,324990,314833.5,324900,309900,299900,289000,277995,279000,285000,289900,315000,3e+05,289900,272000,270000,279000,274980,274650,274900,289250,299899,313450,325000,329000,329000,315000,299900,309250,346900,349000,349900,349950,375000,385000,388250,389950,399000,399000,387809,380000,385000,375000,365000,371000,395900,425000,425000,419000,429000,435990,429000,430000,430000,424900,421500,450000,479900,495000,475000,469000,475000,475000,480000,484900,489900,479450,475000,495000,515000,525000,535000,542450,539000,525000,535000,549000,519994.5,519900,515000,522950,550000,579925,569500,566500,550000,549655
"San Jose","CA","San Jose","Santa Clara",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,729875,729800,699000,749000,769000,788800,788000,799000,799000,785000,789000,799000,781500,759995,768000,792497.5,829999,824999,850000,865000,865000,848888,849998,849000,840000,849000,867873,899888,925000,899950,899000,928400,912500,899000,885000,886250,874988,865263.5,865047.5,899000,925000,949000,975000,938000,947550,950000
"Jacksonville","FL","Jacksonville","Duval",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212945,208995,205990,205990,203990,204990,202995,207945,211400,216990,219900,217990,216995,222900,219900,219900,215000,219000,225000,229000,230000,239000,245500,249700,245000,244945,241408,239900,239900,240000,243240,245000,249900,251485,255990,260000,254900,250000,249999,250000,246000,242995,240000,245092.5,254192.5,264900,269000,269000,266487.5,263737
"San Francisco","CA","San Francisco","San Francisco",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1399000,1600000,1690000,1798000,1950000,1796500,1649000,1695000,1595000,1490000,1585000,1698000,1698000,1668944,1699000,1895000,1924500,1939000,1895000,1799000,1749500,1750000,1929000,1950000,1699000,1699500,1695000,1987500,1980000,2249000,2169000,1999000,1767500,1599500
"Indianapolis","IN","Indianapolis","Marion",13,154900,153900,159900,159900,159900,159900,159900,159900,159900,159900,159700,150000,149900,149900,152500,154900,159500,159700,159900,144900,144000,154900,149900,147900,144900,145000,147500,149900,149900,150000,149900,149900,149900,147000,148250,149900,145000,154900,160000,165000,169900,173500,169950,169900,169900,169925,168800,165000,163500,164950,168897.5,179900,179900,181450,183900,175000,175000,175000,175000,170000,172900,177725,178250,182500,185000,188750,184950,176900,179900,178000,179897,174250,169900,165000,174900,175000,180000,187900,187500,180000,184900,184450,179900,179702.5,175000,175000,184200,197500,197500,200990,208999.5,219900
