"RegionName","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08"
"New York","NY","New York","Queens",1,599000,599000,599000,598000,589000,588000,585000,585000,585000,575000,569000,559000,550000,550000,560000,550000,550000,550000,559000,550000,549000,549000,549000,549000,549000,539000,539150,549000,549000,549000,549000,549000,549000,539000,559000,559900,549999.5,550000,550000,559000,559999.5,575000,575000,569000,575000,575000,585000,6e+05,599000,599000,599000,625000,652000,699000,689000,688000,669000,675000,629000,639000,650000,629000,639000,719000,699000,649000,650000,689000,699999,729000,829999,835000,899449.5,899000,869000,938000,899000,899000,899000,886800,868500,875000,850000,849000,829999,825000,892500,950000,1088000,1149999.5,1150000,1150000
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,990000,999949.5,1100000,1149000,1177500,1248000,1200000,1199900,1200000,1199950,1200000,1200000,1257500,1249500,1295000,1299000,1300000,1389000,1381781,1350000,1363471.5,1390000,1350000,1349000,1375000,1390000,1385000,1400000,1449000,1422500,1399000,1379000
"Chicago","IL","Chicago","Cook",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167450,161000,153900,169000,169900,175000,197500,209900,209000,199700,2e+05,199900,199000,184000,176749.5,180000,190000,199000,205500,215000,210000,220000,224900,230000,225000,209900,2e+05,204000,235000,249900,250000,250000,245900,239000,230000,225000,220000,215000,214450,220000,240000,249000,255999,264900,259000,249000
"Houston","TX","Houston","Harris",4,399200,420000,414450,399900,399000,394900,375000,365000,394495,385000,388303.5,384837,375000,388900,389000,382337,380000,369400,356946.5,339900,339900,325000,329900,337000,315000,339900,349900,369000,359000,374950,375000,349000,339999,321000,336990,325000,344443,369000,374999,379900,389450,399000,4e+05,4e+05,423083.5,425000,415000,415000,423920,465000,485990,475450,479450,475450,499000,525497.5,527000,550000,565000,549000,526500,549000,559000,589770,595000,590000,589000,575000,570945,593048.5,604695.5,599000,599900,632900,6e+05,618900,614990,596000,598500,551288,550000,549900,525000,507450,520000,525061,549883,564500,599900,561990,560995,538000
"Philadelphia","PA","Philadelphia","Philadelphia",5,190000,199900,203000,208340,204950,199900,193500,196500,199900,199900,199450,191500,189900,2e+05,199900,195000,199000,199000,199999,199450,2e+05,201000,200500,201000,199800,2e+05,216000,210000,225000,232450,220499.5,225000,221000,210000,225000,219000,209900,219000,225000,247450,249900,259900,255000,252500,255555,256950,249000,240000,219897,225000,260000,260000,275000,269000,250000,249000,260000,249900,259000,254900,249000,249900,269000,275000,299000,289450,274999.5,279900,267000,264900,266200,259000,257450,266750,279000,299700,299000,275000,255000,250000,280000,299000,299000,279999,279000,279450,299000,299950,322500,325000,299000,299900
"Phoenix","AZ","Phoenix","Maricopa",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425000,427000,385000,429500,435000,458990,439499.5,435000,417001,420418,422495,425500,431006.5,437000,435000,439000,455000,481990,475000,459990,465000,465005,465000,473995,489400,459000,485000,515000,522400,493990,499700,489000,467500,475000,447750,477450,459500,464900,472450,494900,504990,489250,469900,456550,456550,469700
"Las Vegas","NV","Las Vegas","Clark",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294900,295000,299900,299900,3e+05,309900,324650,329444,339000,346100,344990,326250,325000,344000,349900,349900,354950,355000,353195,350000,355000,355000,350000,350000,360000,369000,374900,375919,377008,385000,385000,389000,379000,379000,379900,380000,379900,386000,385000,395000,399900,399999.5,409945,399900,4e+05,399999,414742,419000,416250,415000,427745,439000,437500,449990,454700
"San Antonio","TX","San Antonio","Bexar",8,298500,303950,299000,290000,291336.5,299900,299925,299900,305000,309990,299999,299999.5,290990,289999.5,285000,290000,294900,290495,300227,296995,290989.5,286321,280000,274999,279000,269796,275000,279900,279990,289900,289000,279900,290856.5,294900,314000,299950,309997.5,319945,336750,339900,339500,344550,341725,339101.5,349250,340000,347990,349900,349900,356765,340679,355000,355000,357270,358500,363741,364900,363570.5,359945,363695,359950,361490,359990,365000,354450,354000,361450.5,349990,341900,339955,345000,329900,344990,355000,362995,365950,369900,367900,373930,369900,369900,368750,365000,360599.5,359900,350000,359450,364000,373999.5,370300,375000,373563
"San Diego","CA","San Diego","San Diego",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1079000,1144995,1104995,1150000,1100000,1199900,1199000,1199000,1169900,1249100,1239000,1244500,1249000,1099500,1199000,1249888,1324000,1375000,1424999.5,1299000,1350000,1299450,1322644,1399500,1395000,1399999.5,1326900,1428900,1425400,1350000,1324900,1349000,1343950,1299990,1299000,1295000,1307500,1398500,1375000,1388888,1400000,1475000,1449000,1498500,1512500,1515000
"Dallas","TX","Dallas-Fort Worth","Dallas",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1274900,1300000,1300000,1347000,1325000,1295000,1250000,1250000,1250000,1249950,1224500,1349500,1350000,1399900,1378125,1399000,1295000
