"RegionName","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08"
"New York","NY","New York","Queens",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,679000,689000,699000,699000,699000,699000,735000,765000,752500,775000,875000,875000,825000,895000,829000,839000,830000,8e+05,825000,835000,849000,850000,859000,899000,9e+05,902500,929000,925000,899000,891810
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,429900,421000,419250,435000,429900,439925,449000,449000,440000,440000,440000,449000,439950,430000,429900,459000,484242,489000,495000,495000,485500,487000,498400,499000,499000,499850,5e+05,514500,510000,524250,518500,529000,529000,525000,529000,529000,539000,529250,549000,559000,565775,575000,579900,570000,574949.5,569000
"Chicago","IL","Chicago","Cook",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269900,259500,265000,279000,289999,299000,299000,299000,299000,294900,295000,294700,280000,272500,270000,284000,290000,290000,289900,289000,284900,279900,279900,279000,275000,275880,279900,295000,299900,304000,309000,309900,310000,309700,320000,325000,325000,324250,334500,349000,349900,350000,349900,350000,349900,340000
"Houston","TX","Houston","Harris",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153250,162950,169250,183200,180950,179900,180950,189450,194900,178450,164000,185000,188900,199900,206000,2e+05,205000,209450,210000,215000,215050,218000,215900,220900,227200,220000,209995,219000,215000,209250,205000,210000,212000,204947.5,206000,195000,189999.5
"Philadelphia","PA","Philadelphia","Philadelphia",5,115000,119900,129000,128650,125000,128500,129900,124900,129000,125000,124900,119000,119900,124994.5,124500,119900,124900,123500,116900,115000,115000,110000,110000,99900,102900,109900,109000,109000,110000,114900,109900,105000,105000,109900,114900,110000,110000,115000,123900,125000,129900,131400,125000,120000,120000,122900,120000,119900,119900,119900,124900,129900,129900,130000,129900,125000,125050,125000,125000,120000,118900,119999,129900,134900,138500,135000,130000,129900,129000,129600,128894,120000,119000,117000,124970,129900,133799,134900,129900,127000,129900,129900,125000,124900,125000,125000,135000,144945,149900,149900,150000,149900
"Phoenix","AZ","Phoenix","Maricopa",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125000,129000,132000,134500,134500,130944,134900,135000,134602,134900,135000,139900,142000,140000,149000,150000,149900,152000,154900,155000,142000,149900,159447.5,164900,169000,166200,173000,174950,174200,172500,175000,175000,169925,169900,175000,179900,185000,185000,185500,189900,189900,189900,190000,189900,189000,189900
"Las Vegas","NV","Las Vegas","Clark",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94000,92000,91250,90000,90000,92000,95000,97945,99000,95000,99000,99000,99900,99900,99900,102000,110000,110000,110000,109900,109900,110000,112900,115000,118000,123000,124900,125000,125900,125000,125000,125000,125000,125000,126500,129900,130000,130500,129900,134900,138500,143650,149000,149000,149950,153000,155000
"San Diego","CA","San Diego","San Diego",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358000,349000,350000,350000,365000,375000,372500,355000,365000,389000,389000,387500,378750,385000,375000,379000,382000,395000,399500,4e+05,384900,415000,408950,415000,415000,410000,415000,415000,423000,429000,435000,439999,449000,449000,444450,439000,439000,430000,435000,449000,449000,447500,459000,499000,490000,495000,485000
"San Jose","CA","San Jose","Santa Clara",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410000,399900,419444,415000,448000,447750,449000,459500,459000,450000,469900,464000,445000,439990,425000,449950,484000,495000,499888,510000,509000,522499.5,530000,527000,529888,524999.5,525444,560000,569000,568000,586000,575500,569500,570000,578000,575000,569000,560000,584800,597000,599000,599000,599000,599000,615000,615000
"Jacksonville","FL","Jacksonville","Duval",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99500,99900,98700,103250,104500,1e+05,105000,110000,109000,109000,110000,110000,109900,105000,102000,107000,111750,112325,111900,110000,112788.5,114900,110000,109900,113250,114900,114000,115900,115900,119500,119000,119999.5,122000,122000,125000,124900,119999.5,120210,116250,118000,120000,120000,125000,125000,122450,120000
"San Francisco","CA","San Francisco","San Francisco",11,699000,699000,699000,699000,695000,689000,695000,699000,699000,699000,675000,649000,649000,622000,629000,629000,629000,625000,619950,619450,619000,610000,599000,589000,599000,599500,625000,654800,688500,699000,699000,725000,749000,775000,775000,799000,799000,792000,799000,795000,799000,799000,799000,799000,804950,825000,824999,849975,832000,847000,849000,875000,899000,899000,899000,875000,899900,935000,959000,995000,995000,1050000,1050000,1049000,999000,995000,995000,998000,1050000,1034500,999000,998000,975400,999988,999000,1095000,1098000,1095000,1095000,1049000,1049000,1075000,1040500,1049000,1098000,1100000,1103000,1129000,1100000,1100000,1125000,1149000
"Indianapolis","IN","Indianapolis","Marion",12,107500,104250,104950,105000,105000,104900,105900,99900,106000,104900,103975,1e+05,104900,105900,108000,104900,104900,105000,99900,98700,99500,1e+05,99500,98600,96950,99500,99900,99500,99900,102250,99900,98950,99500,99700,99900,99900,97950,96900,95000,99900,1e+05,99900,1e+05,99775,99500,95000,98500,99000,96300,95000,99900,99450,99250,99900,102449.5,99999,99900,99500,99900,99900,97000,99900,99950,104500,1e+05,99950,99900,97200,99000,96900,96947.5,95000,89900,89950,99900,99950,104900,108900,109450,105000,101000,105000,1e+05,99900,99900,109000,109000,110000,114950,119900,124900,119900
