"RegionName","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08"
"New York","NY","New York","Queens",1,550000,549900,550000,550000,549000,549000,549000,548000,545000,530500,529000,525000,525000,519000,525000,519000,519900,525000,520000,520000,519000,509000,519000,515000,5e+05,507550,5e+05,509000,519990,520000,519000,519000,514000,5e+05,529000,529000,529000,529000,535000,545000,548900,538000,539000,549000,550000,559000,565000,579000,579000,575000,575000,595000,599000,629000,638500,639990,639000,635000,599999,6e+05,624999.5,599000,619000,669000,679000,649000,665000,697888,699788.5,725000,765000,779000,799000,798838,780000,845000,829000,849000,849000,829000,819999,825000,830000,825000,818999.5,799000,845000,859000,888000,899000,899000,899000
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375000,380000,395000,399000,415000,439000,450000,459900,479950,499000,5e+05,510000,510000,509950,499000,499000,499250,525000,529974.5,550000,550000,580000,599000,580000,569000,587800,596000,599999,605000,675000,659000,689950,699000,7e+05,716000,7e+05,7e+05,719900,720000,720000,718000,699000,725000,747000,749000,750000,769000,759000,759950,756500,798000,799000,799000,824900,8e+05,799990,8e+05,825000
"Chicago","IL","Chicago","Cook",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169900,150000,148450,149900,155000,151055.5,165000,184750,181000,179900,186000,181950,169900,157000,149900,152095,160000,169900,178900,180000,180000,191450,189950,192000,190000,180000,179000,175000,185000,199750,205000,199999.5,199600,195000,195000,190000,189250,185000,179900,185000,199000,199997,212500,219000,215000,210000
"Houston","TX","Houston","Harris",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297000,289990,3e+05,299900,299000,3e+05,290000,307500,325000,355000,322499.5,350000,374950,375000,379450,4e+05,375000,359500,375000,4e+05,399900,389900,439500
"Philadelphia","PA","Philadelphia","Philadelphia",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169900,174700,155000,159900,164900,160000,175000,179900,175900,175000,179900,175900,179950,179700,173999,169900,169950,169900,179813.5,179900,178777,165500,179000,170000,160000,169000,169250,170000,171450,179900,169900,169500,164900,165000,159900,158900,156000,159900,159999,169000,169900,174990,169900,168200,167000,167500,169000,169950,167750,165000,168900,168950,175000,185000,196922,200500,189900,189900
"Phoenix","AZ","Phoenix","Maricopa",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159900,163000,159999,159000,159450,167000,169000,169000,159450,159900,165000,162500,156000,159900,155900,169000,174500,174900,172250,174500,169900,176900,197000,202450,2e+05,198500,199450,215000,229900,229450,230000,230000,229950,224900,224900,229000,230000,240000,224900,237250,240000,249975,267550,264444,264000,268775
"Las Vegas","NV","Las Vegas","Clark",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175000,175000,175000,179250,186500,189500,195000,195000,199900,197000,197000,199000,199999,199000,194250,190000,171950,175000,190000,189900,195000,199900,189900,199000,195000,195000,199000,199900,199900,204900,215000,220379,229000,229000,229450,224099,229999,229444,235000,235000,235000,240000,245000,249950
"San Antonio","TX","San Antonio","Bexar",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186499.5,190000,190000,190000,222000,206500,207500,199000,194000,211000,194900,199950
"San Diego","CA","San Diego","San Diego",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,796500,749000,796500,825000,872500,825000,824900,799250,799000,895000,871950,799700,799000,885000,969950,959900,1097500
"Dallas","TX","Dallas-Fort Worth","Dallas",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349000,350000,350000,369000,344500,372475.5,352500,339500,358700,370000,398250,436950,442000,459000,447900,434900,429900
"San Jose","CA","San Jose","Santa Clara",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,699000,699950,699000,699000,676995,630000,657000,595500,622000,650000,695000,685880,680000,723440,769880,750000,757440,739000,750000,750000,759000,791235,799850,799000,784000,819601,8e+05,805000,9e+05,899944,899000,899888,888000,925000,925000,939000,919944,887830,898900,898900,9e+05,899950,888000,887330,888000,875000,882310,999888,1098000,1098500,999444,1020000,1099000
"San Francisco","CA","San Francisco","San Francisco",12,995000,996500,965700,1059250,998500,988000,990000,989000,1050000,1075750,1050000,1049000,999000,930000,949000,850000,879000,899000,899900,920000,891800,875000,975000,950000,899700,915000,990950,996500,1051235,1099000,1100975,1067500,1050000,1091500,1149500,1154000,1225000,1227500,1227500,1295000,1300000,1299900,1300000,1299000,1300000,1350000,1125000,1199500,1388000,1310000,1299000,1399000,1400000,1400000,1349000,1380000,1397000,1597000,1585000,1577000,1614500,1492000,1599000,1650000,1735000,1750000,1699000,1599500,1599000,1750000,1800000,1800000,1949000,1772500,1888000,1880000,1999999,1998000,1950000,1899000,1914000,1980000,1977500,1958000,1998999.5,2025000,1984000,1977500,1980000,1992500,1975000,1800000
"Indianapolis","IN","Indianapolis","Marion",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69500,68500,61900,59900,59900,59900,65000,64000,59950,60000,60000,64900,64900,60000,59900,59000,54900,54500,50000,50000,54000,55000,55000,54900,59900,60000,67750,68000,65000,65500,64999.5,65000,61000,64250,69862.5,67000,69000,72500,69900,74900
"Fort Worth","TX","Dallas-Fort Worth","Tarrant",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119950,115000,118950,115000,118000,109900,118950,110000,126500,128000,117000,124900,127500,129450,148000,150000,145000,150000,150000,149900,140000,137450,135000,135000,135000,135000,136140,150000,150000,154750,164950,150500,172000,179450,185000,189500,179900,175000,169950,179000,182500,169900,185000,168950
"El Paso","TX","El Paso","El Paso",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148750,145000,149975,161250,159500,159500,160000,154900,164850,159000,155000,149250,149000,143000,140000,149635,146250,154500,155000,149950,149925,148950,142995,142995,152450,142995,138200,129250,130500,129900,142450,150000,155995,152995,137900,135000,134950,125000,119700,119200,139500,137250,139500,159000,157000,158000,143000,143000,137500,139900,158000,158000,153894,139500,146894,145000,145000,154500
"Boston","MA","Boston","Suffolk",16,362400,359000,359000,359000,369000,365000,369000,369000,355160,355900,349900,330000,339950,329000,339900,339000,374900,359900,359900,359050,354900,339850,349900,346750,349900,359000,359900,379900,399900,409950,410000,399900,409900,399900,427000,435000,435000,427000,439900,453950,479000,525000,517500,482450,495000,475000,489000,479000,479450,495000,491450,529000,577000,572000,549900,544000,525000,539000,549000,539000,549000,549900,554000,559900,569000,579000,599000,575000,607000,6e+05,615000,599999,617000,599000,621950,649000,654500,669000,665000,649000,625000,650000,695000,689508,699000,725000,799000,775000,799000,799900,779894,749999.5
