"RegionName","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08"
"New York","NY","New York","Queens",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3750,3799,3800,3650,3600,3600,3600,3599,3700,3500,3600,3700,3799,3700,3600,3600,3545,3500,3500,3550,3600,3700,3667,3695,3700,3775,3875,3750,3400,3589.5,3599,3555,3600,3795,3800,3800,3850
"Houston","TX","Houston","Harris",2,,,,,,,1725,1725,1600,1550,1500,1650,1550,1597.5,1550,1585,1750,1575,1500,1450,1495,1450,1497.5,1500,1500,1500,1397.5,1395,1400,1495,1550,1420,1235,1400,1395,1399.5,1350,1500,1400,1450,1450,1500,1582.5,1650,1500,1500,1600,1650,1400,1450,1500,1695,1750,1800,1800,1797.5,1799,1750,1800,1800,1800,1850,1890,2000,2000,2000,2000,2000,1950,1962.5,1949,1900,1895,1900,1950,1900,1950,1895,1950,1995,1800,1850,1750,1850,1800,1850,1900,1900,1900,1900,1900
"Philadelphia","PA","Philadelphia","Philadelphia",3,,,,,,,,,,,,,,,,,,,1750,1695,1600,1650,1800,1850,1950,2000,1950,1950,1900,1900,1800,1700,1750,1750,1700,1700,1900,2000,2000,2000,2000,2000,1895,1800,1799,1800,1950,2000,2000,2000,2000,2000,2000,2000,1800,1800,1800,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,1995,1890,1900,1800,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
"Phoenix","AZ","Phoenix","Maricopa",4,1650,1750,1500,1495,1450,1395,1472.5,1395,1395,1295,1295,1200,1200,1200,1320,1250,1250,1195,1195,1150,1150,1150,1150,1148,1175,1195,1195,1200,1250,1250,1244,1200,1145,1100,1100,1100,1100,1165,1175,1184,1175,1195,1150,1195,1200,1200,1200,1195,1175,1163,1195,1250,1295,1300,1395,1250,1290,1290,1330,1300,1495,1495,1475,1500,1550,1550,1500,1450,1400,1395,1475,1492.5,1345,1425,1431,1500,1414,1475,1397.5,1400,1450,1375,1350,1400,1497,1544.5,1550,1550,1500,1499.5,1500
"Las Vegas","NV","Las Vegas","Clark",5,,,,1472.5,1375,1297.5,1495,1595,1695,1597.5,1495,1450,1395,1395,1350,1452.5,1450,1400,1400,1445,1400,1362.5,1350,1395,1350,1395,1395,1350,1375,1375,1350,1350,1350,1345,1300,1300,1349.5,1350,1395,1390,1350,1357.5,1392.5,1395,1395,1395,1395,1375,1357,1375,1375,1400,1400,1400,1400,1400,1400,1395,1395,1399,1400,1400,1495,1450,1450,1495,1495,1475,1450,1495,1450,1450,1496.5,1550,1500,1495,1500,1495,1495,1450,1450,1500,1475,1500,1550,1587.5,1600,1600,1600,1600,1600
"San Antonio","TX","San Antonio","Bexar",6,,,,,,,,,,,,,,1395,1400,1400,1425,1450,1400,1400,1395,1395,1395,1350,1395,1495,1407,1452,1500,1495,1450,1450,1450,1495,1375,1450,1400,1475,1495,1500,1498,1500,1475,1450,1450,1400,1400,1425,1400,1400,1425,1500,1500,1500,1500,1495,1475,1450,1450,1475,1495,1500,1500,1550,1595,1600,1575,1562.5,1575,1595,1550,1550,1595,1600,1600,1595,1595,1600,1600,1595,1550,1550,1595,1600,1650,1650,1695,1700,1695,1700,1695
"San Diego","CA","San Diego","San Diego",7,,,,,,,,,,,,,,,,3125,3000,2995,2795,2540,2500,2700,2750,2625,2600,2575,2395,2400,2500,2500,2562.5,2572.5,2450,2500,2400,2399,2399,2500,2400,2447.5,2500,2695,2800,2950,2750,2595,2750,2650,2550,2540,2600,2800,2880,2995,3000,2848,2800,2795,2824,3200,3200,3000,2995,2975,2995,3000,3075,2995,2950,2995,3000,3100,3325,3300,3200,3175,3125,3000,3000,3000,2972.5,3000,2812.5,3200,3350,3380,3500,3595,3695,3500,3495
"Dallas","TX","Dallas-Fort Worth","Dallas",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990,2000,1925,1800,1940,1700,1700,1975,1997.5,1930,1895,1897.5,1995,1977.5,1700,1619,1650,1750,1900,1697.5,1995,2097,2275,2500,2350,2395
"San Jose","CA","San Jose","Santa Clara",9,,,,,,,,,,,,,,,,,,2625,2525,2553,2597.5,2650,2550,2495,2572.5,2747.5,2500,2500,2550,2550,2500,2600,2650,2625,2700,2650,2600,2600,2600,2600,2795,2945,2992.5,3112.5,3050,2800,2995,2895,2900,2825,2895,3222.5,3297.5,3400,3285,3495,3375,3300,3300,3350,3295,3500,3500,3500,3700,3700,3510,3550,3600,3570,3500,3500,3650,3697.5,3625,3650,3800,3825,3800,3795,3625,3700,3695,3690,3650,3700,3700,3800,3800,3950,3850
"Jacksonville","FL","Jacksonville","Duval",10,1395,1397.5,1395,1395,1395,1350,1350,1400,1395,1350,1395,1385,1395,1350,1300,1350,1350,1400,1395,1350,1300,1295,1200,1200,1296,1280,1275,1250,1295,1300,1250,1250,1200,1250,1200,1250,1250,1250,1300,1350,1350,1350,1350,1350,1325,1350,1347.5,1300,1300,1350,1350,1350,1350,1350,1300,1300,1295,1275,1275,1285,1275,1299,1325,1325,1375,1395,1338,1350,1350,1375,1375,1375,1355,1395,1395,1400,1400,1450,1397,1450,1395,1395,1397,1375,1375,1425,1485,1475,1492.5,1495,1500
