"RegionName","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08"
"New York","NY","New York","Queens",1,,,,,,,,,,,,,2500,2700,2750,2795,2800,2900,2995,2960,2995,2700,2595,2400,2600,2550,2600,2695,2750,2750,2800,2800,2895,2895,2950,2900,2950,2900,2900,2925,2850,2700,2800,2895,3000,3150,3195,3200,3195,3175,3150,3195,3200,3100,3100,3100,3100,3050,3095,3104.5,3100,3125,3150,3199,3200,3200,3200,3200,3200,3159.5,3150,3150,3100,3100,3100,3100,3000,3074,3100,3000,3015,3000,3000,3052.5,3195,3164,3200,3200,3200,3200,3150
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2662.5,2600,2650,2600,2650,2647,2700,2850,2800,2800,2825,2850,2900,2925,2850,2900,2950,2950,2950,2950,2800,2800,2900,2800,3150,2800,2995,2850,2895,2950,2999,3000,3000,3000,3000,3100
"Chicago","IL","Chicago","Cook",3,,,,,,,,,,,,,1550,1600,1650,1650,1650,1668,1690,1700,1700,1685,1679,1695,1700,1700,1695,1650,1700,1699,1712,1710,1748,1699,1664,1658,1700,1665,1650,1645,1650,1650,1650,1695,1757,1750,1750,1750,1775,1790,1800,1810.5,1845,1850,1850,1850,1850,1805,1850,1800,1800,1841,1800,1800,1815,1820,1835.5,1800,1799,1800,1795,1800,1850,1850,1850,1800,1849.5,1800,1825,1800,1800,1800,1790,1800,1800,1800,1850,1850,1875,1895,1851.5
"Houston","TX","Houston","Harris",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1326,1356,1317,1300,1325,1319.5,1303,1301.5,1300,1319,1300,1317,1318,1311,1305,1317,1317,1300,1304.5,1300,1406.5,1400,1380,1385,1387.5,1395,1395,1395,1400,1430,1430,1420,1400,1400,1393,1356,1350,1350,1324,1325,1395,1300,1324,1318,1300,1320,1300,1300,1300
"Philadelphia","PA","Philadelphia","Philadelphia",5,1500,1320,1250,1300,1350,1374.5,1485,1295,1485,1400,1422.5,1295,1300,1400,1500,1500,1412.5,1450,1475,1400,1350,1300,1300,1250,1300,1350,1400,1400,1400,1350,1295,1200,1200,1200,1175,1175,1200,1300,1350,1400,1350,1295,1277.5,1295,1295,1250,1275,1200,1200,1250,1300,1500,1500,1500,1475,1400,1375,1350,1295,1350,1400,1500,1550,1595,1525,1500,1500,1475,1400,1400,1350,1400,1400,1500,1600,1575,1500,1472.5,1400,1375,1300,1350,1300,1330,1375,1500,1550,1550,1550,1500,1450
"Phoenix","AZ","Phoenix","Maricopa",6,,972.5,895,895,845,825,900,975,950,950,950,925,900,895,900,900,900,895,895,899,895,872,850,850,850,869.5,825,800,850,850,800,850,850,855,872,850,850,877,895,875,875,850,850,869,900,895,925,925,925,950,950,995,975,975,995,960,975,960,975,995,995,995,1050,1050,1050,1050,1095,1050,1050,1050,1045,1082,1095,1099,1075,1000,1025,1000,1000,995,1000,1000,995,1075,1095,1100,1125,1100,1150,1150,1150
"Las Vegas","NV","Las Vegas","Clark",7,897.5,900,899,900,850,895,947.5,950,900,862.5,799.5,850,850,845,850,875,850,850,850,850,850,825,850,850,825,836,800,800,800,800,799,800,800,829,850,850,825,850,850,850,850,900,900,875,850,850,850,850,850,850,850,895,895,895,899,900,900,920,950,950,930,950,950,950,975,950,950,925,925,950,950,950,950,926,950,950,1000,950,950,977.5,1100,1195,1100,1150,1200,1200,1250,1200,1195,1100,1100
"San Antonio","TX","San Antonio","Bexar",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,738,757,775,850,856.5,850,867.5,834,825,855,877,850,849,874.5,879,880,882.5,995,925,922.5,900,900,900,926,987,995,1000,997,950,950,899,895,875.5,872.5,899,881.5,875,1007.5,1025,1085,1050,1025,1025,1030,1040,1050,1100,995,1000,950,995,995,960,950,1007.5,950,995,1020,1012.5,1025,1062.5,1100,1118,1195
"San Diego","CA","San Diego","San Diego",9,,,,,,,,,,,,,1950,1895,1950,1900,1850,1800,1800,1850,1850,1875,1850,1800,1800,1825,1745,1695,1750,1749,1700,1762.5,1795,1795,1800,1792.5,1790,1795,1795,1795,1795,1780,1700,1975,1999,1950,1995,2037,2000,1995,1995,1995,2050,2050,2100,2150,2150,2145,2100,2100,2100,2100,2000,2000,2050,2050,2125,2150,2195,2200,2195,2195,2195,2150,2100,2100,2190,2195,2100,2195,2100,2075,2100,2150,2200,2200,2295,2325,2395,2395,2375
"Dallas","TX","Dallas-Fort Worth","Dallas",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1258,1350,1383,1392,1300,1295,1275,1285,1300,1300,1353.5,1350,1295,1300,1350,1295,1350,1351,1375,1397,1399.5,1350,1400,1395,1395,1400,1425,1400,1400,1400,1450,1400,1399,1385,1369,1400,1351,1415,1420,1400,1477.5,1497.5,1517.5,1515,1500,1500,1500,1500
