"RegionName","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08"
"New York","NY","New York","Queens",1,,,,,,,,,,,,,,,2450,2450,2300,2319,2450,2300,2297.5,2500,2650,2695,2700,2700,2700,2750,2800,2800,2800,2800,2800,2800,2800,2750,2799,2750,2700,2765,2895,2895,2895,2899,2900,2800,2800,2750,2795,2800,2800,2849,2950,2499,2450,2475,2450,2450,2400,2400,2450,2493,2500,2525,2500,2500,2500,2500,2500,2450,2400,2400,2400,2450,2495,2500,2500,2550,2550,2600,2625,2600,2350,2400,2400,2400,2450,2500,2500,2500,2575
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",2,,,,,,,,,,,,,1500,1403.5,1445,1425,1400,1395,1400,1395,1350,1450,1495,1581,1581,1595,1595,1540,1450,1447.5,1450,1500,1400,1400,1400,1495,1450,1650,1749.5,1750,1695,1725,1750,1724,1650,1525,1699,1694,1650,1650,1724,1775,1785,1850,1895,1855,1895,1925,1962,1985,1995,2000,1981.5,1995,2025,2063,2050,2075,2085,2095,2090,2200,2234,2254,2280,2295,2264,2200,2149,2209.5,2112,2100,2074.5,2195,2301.5,2349,2311,2300,2300,2350,2335
"Chicago","IL","Chicago","Cook",3,,,,,,,,,,,,,1325,1250,1300,1300,1425,1350,1301.5,1330,1306,1385,1445,1350,1300,1327.5,1450,1576,1600,1570,1580,1500,1525,1525,1530,1550,1600,1500,1525,1610,1650,1639,1640,1600,1565.5,1599,1648,1600,1550,1545,1550,1575,1625,1705,1600,1712,1705,1650,1475,1575,1712,1590,1592,1625,1625,1604,1595,1702,1794,1857,1741,1673,1768,1600,1575,1600,1600,1575,1550,1525,1495,1510,1507,1528.5,1545,1550,1594.5,1600,1600,1600,1611
"Houston","TX","Houston","Harris",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1251,1190,1234,1385,1390,1395,1346,1381,1395,1350,1354,1348,1390,1400.5,1437,1439,1445,1419,1429,1445,1430,1510,1496,1515,1485,1500,1490,1490,1479,1435,1378,1400,1380,1350,1348.5,1389,1410,1399,1420,1421,1403.5,1399,1410
"Philadelphia","PA","Philadelphia","Philadelphia",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1345,1233,1229,1200,1283,1350,1330,1325,1300,1250,1255.5,1297.5,1295,1286.5,1295,1350,1400,1375,1395,1350,1350,1300,1300,1375,1300,1375,1395,1390,1400,1450,1400,1383.5,1383.5,1350,1407,1350,1400,1350,1400,1490,1495,1500,1475,1450,1500
"Phoenix","AZ","Phoenix","Maricopa",6,,,,,,,,,,,,525,600,609.5,600,625,580,629,709,750,729,663,597,699,750,750,705,775,685,630,625,647,625,625,625,644.5,649.5,699,713,725,746,709,700,731,730,699,704,775,770,765,795,760,775,770,800,800,776,765,801.5,819.5,815,845,844,825,840,849,850,860,864.5,900,979,950,941.5,995,960.5,975,1048,950,962,955,951,915,930.5,984,1090,1210,1245,1175,1149.5,1129,1095
"Las Vegas","NV","Las Vegas","Clark",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1145,1100,995,990,1000,1000,1050,960,950,950,990,995,1000,962.5,980,925,905.5,950,1000,930,958,1030,1010,990,1094,1200,1195,1154,1125,1024,993,1025,1041,1041,1038,1036.5,1025,1010,1023
"San Antonio","TX","San Antonio","Bexar",8,,,,,,,,,,,,,,,,,,,,,,,,,,725,650,695,675,659,690,699,700,695,695,709,725,820,930.5,830,855,845,820,850,855,865,900,968,950,966,988,970,1031,1024,995,1000,988,1000,1030,1000,1030,975,950,955,970,980,980,980,975,1017,1021,1000,1010,1060,1042,995,1035,992.5,1045,1019.5,956,1002,949,1000,1025,1022.5,1048.5,1104,1079,1065,1065
"San Diego","CA","San Diego","San Diego",9,,,,,,,,,,,,1250,1175,1125,1200,1195,1250,1295,1450,1495,1530,1525,1347.5,1350,1372.5,1375,1350,1345,1300,1282.5,1275,1275,1250,1287,1295,1300,1300,1415,1444,1450,1500,1497,1592.5,1599,1450,1416.5,1663,1725,1640,1627,1705,1889,1875,1835,1865,1804,1840,1850,1835,1825,1870,1875,1885,1895,1915,1950,1980,2000,1975,1945,1920,1914,1915,1950,1995,1965,1965.5,2060,1965,2005,1904.5,1883.5,1897,1950,1985,2005,2054,2088,2079.5,2095,2105
"Dallas","TX","Dallas-Fort Worth","Dallas",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1279,1305,1290,1303.5,1276,1259,1259,1287,1345.5,1345,1320,1300,1267.5,1295,1280,1289,1302,1330,1375,1334.5,1288,1325,1340,1392.5,1400,1385,1372,1395,1365,1324,1445,1445,1355,1345,1405.5,1412,1433,1440,1440,1435,1445,1478
