"RegionName","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08"
"New York","NY","New York","Queens",1,2236.5,2400,2550,2500,2600,2500,2400,2500,2600,2500,2550,2295,2150,2425,2500,2500,2400,2450,2500,2450,2450,2500,2495,2495,2545,2550,2600,2650,2695,2700,2750,2775,2795,2795,2750,2700,2795,2789,2800,2850,2895,2800,2825,2880,2895,2800,2800,2750,2795,2795,2800,2800,2900,2500,2500,2500,2500,2500,2450,2475,2500,2500,2550,2595,2550,2500,2575,2550,2500,2500,2495,2460,2495,2500,2500,2550,2600,2600,2600,2600,2670,2600,2400,2495,2500,2500,2500,2575,2600,2600,2650
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",2,1762.5,1750,1972.5,2020,2100,2100,2200,1972.5,1917,1899,1985,1795,1775,1750,1800,1850,1850,1800,1750,1695,1595,1500,1500,1595,1649,1650,1650,1695,1650,1672.5,1695,1700,1692,1695,1628.5,1640,1730,1750,1750,1760,1735,1725,1700,1795,1798,1650,1800,1795,1750,1750,1795,1875,1895,1975,1995,1999,2025,2045,2095,2100,2100,2142.5,2125,2169.5,2195,2195,2195,2200,2200,2195,2195,2298.5,2320,2350,2350,2345,2300,2275,2250,2319,2200,2245,2175,2265,2395,2400,2395,2395,2390,2400,2400
"Chicago","IL","Chicago","Cook",3,,1302.5,1329.5,1317.5,1352.5,1300,1300,1400,1500,1550,1574.5,1395,1395,1350,1395,1400,1452,1400,1395,1400,1400,1400,1407,1440,1400,1395,1400,1428,1450,1475,1500,1529,1550,1500,1507.5,1500,1610,1555,1575,1600,1634,1625,1625,1614,1595,1600,1642,1600,1565,1560,1568,1600,1650,1700,1625,1710,1710,1675,1565,1607.5,1709,1600,1620,1650,1650,1650,1640,1700,1748,1800,1700,1685,1750,1650,1650,1650,1650,1641,1600.5,1600,1595,1600,1595,1600,1600,1600,1645,1650,1651.5,1650,1675
"Houston","TX","Houston","Harris",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1175,1195,1195,1125,1189,1177.5,1200,1259,1242,1323.5,1290,1378.5,1385,1381.5,1265,1408,1250,1195,1234,1374.5,1365,1385,1340,1371,1384.5,1347,1350,1335,1375,1385,1427,1429,1424,1405.5,1409.5,1422.5,1405,1500,1485,1500,1479,1495,1479,1479.5,1460,1420,1375,1392,1361,1348,1350,1375,1399,1390,1400,1400,1393,1386,1395
"Philadelphia","PA","Philadelphia","Philadelphia",5,1500,1350,1250,1300,1350,1300,1400,1237.5,1350,1300,1297.5,1225,1250,1300,1350,1350,1300,1295,1250,1249,1195,1185,1195,1195,1275,1300,1350,1300,1300,1300,1250,1200,1200,1200,1200,1200,1325,1325,1339.5,1365,1300,1295,1250,1295,1250,1295,1295,1230,1236,1250,1295,1400,1400,1400,1350,1300,1300,1300,1298,1300,1345,1400,1450,1440,1415,1400,1400,1350,1350,1395,1346.5,1385,1400,1425,1466,1495,1450,1400,1395,1350,1350,1350,1370,1350,1400,1475,1500,1500,1500,1480,1495
"Phoenix","AZ","Phoenix","Maricopa",6,,800,750,799,825,795,850,820,850,850,875,800,799,800,850,850,843.5,800,800,816,794,750,730,750,750,769,764,755,767.5,775,780,795,780,775,760,750,760,783,788,790,795,785,788,800,800,783,799,829,835,845,850,850,850,850,861.5,850,850,850,869,885,890,895,900,900,900,900,925,919,910,909,980,975,975,1012,990.5,982,1025,965,972,959,970,950,950,1000,1075,1160,1195,1145,1138,1120,1100
"Las Vegas","NV","Las Vegas","Clark",7,895,897,895,899,860,895,899.5,847.5,802.5,795,750,795,795,795,850,850,850,850,850,849,800,775,795,775,785,777,775,775,775,775,755.5,779.5,775,795,795,780,795,800,800,800,850,895,900,930,939.5,900,950,977,977,979,995,995,999,950,925,919,950,950,995,950,935,950,950,950,975,950,950,900,900,949,975,929,950,975,975.5,960,1050,1100,1095,1084.5,1100,1112,1050,1100,1150,1150,1150,1125,1095,1050,1060
"San Antonio","TX","San Antonio","Bexar",8,,,,,,,,,921,900,799,743,750,795,750,754,788.5,789,825,825,709.5,720,725,749,859,861,815,795,800,805,842,845,821,830,800,795,825,899,890,849,855,855,875,890,895,900,940,979.5,970,975,979,959,1000,1000,989,995,965,975,1000,975,995,960,939,944.5,975,979,984.5,982,975,1014,1019,999,1005,1055,1037,995,1015,990,1036,1010,953,1005,947,1000,1015,1015,1044.5,1100,1075,1057.5,1060
"San Diego","CA","San Diego","San Diego",9,,,,,,,,,1985,1696.5,1840,1595,1595,1595,1699,1700,1695,1695,1750,1795,1750,1600,1600,1600,1595,1624.5,1585,1585,1620,1600,1595,1620,1545,1560,1600,1595,1595,1620,1600,1615,1650,1650,1670,1800,1753,1645,1795,1835,1775,1750,1795,1900,1945,1900,1925,1900,1915,1900,1895,1890,1900,1900,1900,1900,1935,1950,1995,2000,1995,1975,1950,1955,1955,1975,1995,1980,1991,2070.5,1995,2020,1950,1900,1949,1985,2000,2035,2080,2110,2100,2140,2165
"Dallas","TX","Dallas-Fort Worth","Dallas",10,,,,,,,,,,,,,1100,1119,1050,1025,1095,1095,995,989,967.5,950,1035.5,975,950,1022,975,1100,1150,1100,1030,1100,1095,1115,1198,1281.5,1199,1209,1210,1169,1218,1231,1179,1285,1337,1335,1325,1350,1300,1300,1325,1295,1300,1285,1260,1259,1287,1336.5,1335,1319,1300,1275,1300,1295,1295,1318,1336,1370,1339,1295,1328,1341.5,1383,1399,1379.5,1365,1381,1355.5,1328,1425,1420,1365,1350,1405,1410,1435,1450,1445,1440,1450,1475
"San Jose","CA","San Jose","Santa Clara",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1795,1775,1799,1845,1737.5,1775,1750,1940,1973,2089.5,1999,2031.5,2202,2195,2170,2157.5,2260,2333,2374.5,2427.5,2400,2457,2500,2525,2509.5,2553,2595,2600,2618,2620,2675,2735,2750,2750,2695,2700,2680,2705,2750,2705,2700,2655,2630,2675,2595,2650,2570,2576,2555,2595,2602,2645,2657,2663.5,2695,2698.5,2695
"Jacksonville","FL","Jacksonville","Duval",12,900,900,900,932.5,949,897.5,795,800,800,799,800,850,875,860,900,900,895,895,895,895,850,850,845,823,825,830.5,828,855,850,845,815,795,800,800,875,900,925,939,939.5,940,939,950,975,990,999,998,999,1000,1000,1000,1000,1000,1015,1000,1000,1015,1025,1035,1035,1035,1029,1035,1045,1044,1050,990,975,975,989,995,995,1000,1000,1000,1000,1005,1000,1025,1010,1025,1000,1010,993,1005,1003,1042,1095,1099,1100,1090,1095
