"RegionName","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08"
"New York","NY","New York","Queens",1,,,,,,,,,,,,,,,,,,,,,2300,2250,2500,2600,2600,2595,2500,2500,2500,2400,2400,2400,2495,2500,2500,2500,2450,2395,2395,2400,2600,2695,2750,2650,2695,2591,2500,2550,2550,2500,2500,2500,2550,2550,2500,2595,2599,2695,2600,2450,2600,2600,2600,2600,2650,2700,2695,2650,2695,2600,2600,2674,2674,2650,2696.5,2700,2750,2725,2700,2700,2800,2800,2795,2700,2600,2625,2600,2650,2675,2695,2700,2734
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2795,2700,2700,2700,2995,3195,3200,3200,3300,3200,3250,3250,3255,3250,3300,3500,3600,3800,3675,3800,3800,3690,3500,3500,3900,4000,3997.5,3950,3870,3900,3700,3500,3900,3477.5,3950,3600,3650,3800,3900,4000,4107.5,4000,4000,4100
"Chicago","IL","Chicago","Cook",3,,,1575,1500,1472.5,1595,1547.5,1493,1572.5,1675,1700,1700,1582.5,1550,1513,1550,1558.5,1571.5,1600,1595,1600,1549.5,1500,1510.5,1515,1515.5,1553.5,1495,1505,1600,1595,1574.5,1500,1500,1485,1512,1510,1490,1500,1500,1525,1499,1560,1550,1550,1536.5,1543,1600,1557,1510,1510,1500,1600,1600,1600,1624,1650,1650,1651.5,1635,1639,1600,1600,1625,1630,1599,1600,1600,1600,1585,1590,1550,1550,1550,1550,1550,1565,1528,1554,1550,1549,1545.5,1534,1546,1500,1475,1490,1500,1500,1500,1551,1535.5
"Houston","TX","Houston","Harris",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,1175,1200,1200,1295,1400,1425,1450,1489.5,1495,1495,1495,1495,1500,1500,1500,1550,1595,1600,1650,1650,1600,1600,1600,1600,1650,1600,1600,1645,1600,1500,1500,1500,1500,1500,1450,1495,1400,1550,1595,1585,1600,1600,1600,1615,1600
"Phoenix","AZ","Phoenix","Maricopa",5,,1300,1250,1250,1250,1235,1200,1200,1195,1150,1195,1150,1095,1095,1095,1095,1095,1100,1095,1095,1050,1050,1000,1000,1000,1000,1075,1095,1095,1100,1100,1095,1075,1050,1027,1025,1050,1050,1050,1050,1050,1095,1095,1025,1100,1100,1095,1100,1100,1095,1099,1100,1175,1195,1195,1200,1195,1195,1195,1195,1200,1200,1250,1250,1250,1250,1250,1250,1225,1250,1227.5,1250,1275,1250,1295,1295,1295,1295,1285,1277,1295,1275,1275,1250,1295,1325,1350,1400,1400,1400,1400,1395
"Las Vegas","NV","Las Vegas","Clark",6,,1395,1350,1250,1262.5,1195,1200,1250,1275,1250,1250,1200,1200,1200,1200,1200,1249,1200,1200,1200,1200,1200,1195,1195,1195,1190,1195,1195,1195,1195,1195,1195,1150,1150,1150,1149,1150,1150,1150,1175,1195,1195,1199.5,1200,1199,1195,1195,1199.5,1200,1200,1200,1200,1215,1249,1250,1250,1250,1250,1250,1250,1250,1250,1275,1295,1275,1295,1299,1300,1299,1295,1299,1295,1295,1300,1325,1300,1300,1300,1295,1295,1300,1295,1300,1290,1303,1350,1350,1395,1395,1400,1415,1400
"San Antonio","TX","San Antonio","Bexar",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,905,890,925,924,1050,970,1081,1090,1095,1075,1095,1095,1095,1100,1133.5,1100,1150,1175,1150,1140,1125,1105,1100,1105,1140,1150,1125,1150,1150,1145,1125,1100,1107.5,1125,1119,1145,1145,1105,1095,1095,1099,1096.5,1095,1073,1075,1099,1037,1175,1195,1200,1200,1235,1295,1275,1250
"San Diego","CA","San Diego","San Diego",8,,,,,,,,,,,,,,,2700,2895,2850,2800,2600,2495,2350,2300,2300,2300,2250,2300,2295,2150,2195,2300,2295,2295,2299.5,2250,2200,2195,2150,2100,2097,2200,2350,2400,2450,2500,2650,2600,2400,2500,2495,2400,2350,2350,2600,2750,2700,2695,2650,2650,2700,2650,2750,2850,2695,2695,2695,2650,2695,2695,2695,2600,2670,2750,2800,2897.5,2800,2800,2700,2700,2700,2700,2600,2600,2600,2600,2800,2900,2900,2950,2999,3000,2990,2995
"Dallas","TX","Dallas-Fort Worth","Dallas",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1175,1175,1150,1150,1150,1193.5,1185,1150,1181.5,1200,1200,1195,1200,1200,1200,1250,1200,1195,1250,1200,1200,1200,1250,1295,1295,1300,1300,1335,1300,1295,1295,1295,1295,1350,1395,1400,1450,1495,1500,1400,1400,1400,1400,1425,1495,1600,1550,1500,1500,1495,1495,1437.5,1450,1500,1412.5,1500,1550,1650,1700,1750,1800,1750,1795
"San Jose","CA","San Jose","Santa Clara",10,,,,,,,,,,,,,,2200,2300,2450,2400,2450,2450,2395,2350,2400,2450,2400,2295,2395,2395,2400,2400,2492.5,2499,2450,2450,2500,2400,2500,2500,2475,2500,2500,2570,2600,2797.5,2749,2800,2800,2700,2820,2610,2600,2695,2700,2887.5,2995,2990,3095,3000,3000,2995,3000,3072.5,3000,3065,3195,3300,3500,3495,3400,3400,3450,3400,3330,3300,3400,3395,3450,3500,3495,3400,3400,3295,3250,3225,3250,3300,3330,3400,3450,3500,3600,3600,3500
